Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,AToff,SC,AS,CR,FC,FS,R,LB,FYC,SYC,RC
V.PARIGINI,26,2017-2018,BENEVENTO,4,NAPOLI,BENEVENTO,14',0,0,0,0,0,0,1,0,0,0,2,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,5,BENEVENTO,ROMA,28',0,0,0,0,0,0,0,1,0,0,1,1,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,6,CROTONE,BENEVENTO,41',0,0,0,2,1,1,1,0,0,0,2,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,7,BENEVENTO,INTER,23',0,0,0,0,0,0,0,1,0,0,2,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,8,HELLAS VERONA,BENEVENTO,47',0,0,0,0,0,1,1,2,1,2,5,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,12,JUVENTUS,BENEVENTO,6',0,0,0,0,0,0,0,0,1,1,0,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,13,BENEVENTO,SASSUOLO,36',0,0,0,1,0,1,1,0,0,0,3,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,15,BENEVENTO,MILAN,67',0,0,0,1,1,1,1,1,1,2,1,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,16,UDINESE,BENEVENTO,55',0,0,0,2,0,1,1,2,0,2,9,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,17,BENEVENTO,SPAL,43',0,0,0,1,0,1,4,1,0,1,3,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,18,GENOA,BENEVENTO,60',0,0,0,0,0,0,1,3,0,1,4,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,19,BENEVENTO,CHIEVOVERONA,40',0,0,1,0,1,0,2,1,3,0,5,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,25,BENEVENTO,CROTONE,64',0,0,2,1,1,0,2,1,1,1,5,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,28,FIORENTINA,BENEVENTO,13',0,0,0,0,0,0,1,0,0,1,2,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,32,SASSUOLO,BENEVENTO,31',0,0,0,0,0,0,0,1,1,0,0,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,33,BENEVENTO,ATALANTA,68',0,0,0,1,0,0,1,0,2,0,8,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,34,MILAN,BENEVENTO,20',0,0,0,0,0,0,0,0,1,1,1,1,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,35,BENEVENTO,UDINESE,38',0,0,0,0,0,0,1,0,0,1,1,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,36,SPAL,BENEVENTO,95',0,0,1,0,0,0,3,3,2,3,4,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,37,BENEVENTO,GENOA,46',0,0,0,0,0,0,0,0,0,1,3,0,0,0
V.PARIGINI,26,2017-2018,BENEVENTO,38,CHIEVOVERONA,BENEVENTO,80',0,0,0,1,1,0,2,1,3,3,5,0,0,0
