Name,#,Year,Team,Matchday,Team 1,Team 2,M,GC,OG,S,STP,SF,FYC,SYC,RC
S.SIRIGU,39,2018-2019,TORINO,1,TORINO,ROMA,99',1,0,5,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,2,INTER,TORINO,96',2,0,4,1,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,3,TORINO,SPAL,95',0,0,2,0,2,0,0,0
S.SIRIGU,39,2018-2019,TORINO,4,UDINESE,TORINO,96',1,0,2,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,5,TORINO,NAPOLI,97',3,0,3,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,6,ATALANTA,TORINO,96',0,0,3,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,7,CHIEVOVERONA,TORINO,98',0,0,3,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,8,TORINO,FROSINONE,95',2,0,2,0,0,1,0,0
S.SIRIGU,39,2018-2019,TORINO,9,BOLOGNA,TORINO,97',2,0,0,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,10,TORINO,FIORENTINA,97',1,0,4,1,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,11,SAMPDORIA,TORINO,96',1,0,3,1,1,0,0,0
S.SIRIGU,39,2018-2019,TORINO,12,TORINO,PARMA,96',2,0,4,1,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,13,CAGLIARI,TORINO,99',0,0,0,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,14,TORINO,GENOA,98',1,0,0,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,15,MILAN,TORINO,98',0,0,3,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,16,TORINO,JUVENTUS,20',0,0,1,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,19,LAZIO,TORINO,99',1,0,2,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,20,ROMA,TORINO,97',3,0,6,1,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,21,TORINO,INTER,98',0,0,4,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,22,SPAL,TORINO,95',0,0,1,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,23,TORINO,UDINESE,103',0,0,3,0,2,0,0,0
S.SIRIGU,39,2018-2019,TORINO,24,NAPOLI,TORINO,98',0,0,9,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,25,TORINO,ATALANTA,95',0,0,3,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,26,TORINO,CHIEVOVERONA,96',0,0,5,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,27,FROSINONE,TORINO,94',1,0,4,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,28,TORINO,BOLOGNA,98',3,0,3,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,29,FIORENTINA,TORINO,99',1,0,7,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,30,TORINO,SAMPDORIA,99',1,0,2,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,31,PARMA,TORINO,96',0,0,1,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,32,TORINO,CAGLIARI,100',1,0,4,1,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,33,GENOA,TORINO,97',0,0,4,2,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,34,TORINO,MILAN,96',0,0,4,1,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,35,JUVENTUS,TORINO,95',1,0,3,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,36,TORINO,SASSUOLO,97',2,0,1,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,37,EMPOLI,TORINO,95',4,0,5,0,0,0,0,0
S.SIRIGU,39,2018-2019,TORINO,38,TORINO,LAZIO,93',1,0,3,0,0,0,0,0
