Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
A.BEGHETTO,33,2018-2019,FROSINONE,2,FROSINONE,BOLOGNA,8',0,0,0,4,0,0,1,0,0,0,0,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,6,ROMA,FROSINONE,92',0,0,0,42,0,0,26,1,0,0,1,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,10,SPAL,FROSINONE,98',0,0,0,40,0,0,24,1,0,0,4,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,11,PARMA,FROSINONE,94',0,0,0,66,1,0,43,0,1,0,0,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,12,FROSINONE,FIORENTINA,94',0,0,0,45,1,0,20,0,1,0,4,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,13,INTER,FROSINONE,73',0,0,0,34,0,0,17,1,0,0,1,1,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,14,FROSINONE,CAGLIARI,96',0,0,1,52,1,0,24,0,0,0,2,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,15,NAPOLI,FROSINONE,94',0,0,0,58,0,0,36,3,0,0,2,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,16,FROSINONE,SASSUOLO,95',0,0,0,38,0,0,18,1,0,3,2,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,17,UDINESE,FROSINONE,98',0,0,0,64,0,0,39,0,1,0,1,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,18,FROSINONE,MILAN,96',0,0,0,44,1,0,17,1,0,1,1,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,19,CHIEVOVERONA,FROSINONE,100',0,0,0,54,0,0,26,0,3,4,4,1,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,20,FROSINONE,ATALANTA,38',0,0,1,14,0,0,4,0,0,0,0,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,21,BOLOGNA,FROSINONE,95',0,0,0,65,0,2,45,0,0,2,3,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,22,FROSINONE,LAZIO,95',0,0,0,55,0,0,35,0,0,2,2,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,23,SAMPDORIA,FROSINONE,96',0,0,0,43,0,0,16,2,1,1,4,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,25,FROSINONE,ROMA,61',0,0,0,32,0,0,12,1,0,4,4,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,29,FROSINONE,SPAL,95',0,0,0,72,0,0,36,1,1,5,5,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,30,FROSINONE,PARMA,109',0,0,0,62,0,0,37,1,3,1,1,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,31,FIORENTINA,FROSINONE,98',0,0,1,54,1,0,29,1,4,2,1,1,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,32,FROSINONE,INTER,95',0,0,0,49,0,0,14,1,1,3,3,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,33,CAGLIARI,FROSINONE,95',0,0,0,57,0,0,30,1,1,2,4,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,34,FROSINONE,NAPOLI,94',0,0,0,42,0,0,22,2,0,2,2,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,35,SASSUOLO,FROSINONE,94',0,0,0,37,0,0,17,2,1,3,1,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,36,FROSINONE,UDINESE,95',0,0,0,56,0,1,22,0,2,0,1,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,37,MILAN,FROSINONE,75',0,0,0,25,0,0,10,0,1,1,2,0,0,0
A.BEGHETTO,33,2018-2019,FROSINONE,38,FROSINONE,CHIEVOVERONA,93',0,0,1,53,0,0,28,1,0,1,2,0,0,0
