Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
A.CONTI,12,2018-2019,MILAN,17,MILAN,FIORENTINA,11',0,0,0,5,0,0,2,0,0,0,1,0,0,0
A.CONTI,12,2018-2019,MILAN,18,FROSINONE,MILAN,21',0,0,0,12,0,0,9,0,0,0,0,0,0,0
A.CONTI,12,2018-2019,MILAN,20,GENOA,MILAN,81',0,0,0,51,0,1,37,0,2,0,3,0,0,0
A.CONTI,12,2018-2019,MILAN,23,MILAN,CAGLIARI,24',0,0,0,20,0,0,15,0,0,1,1,0,0,0
A.CONTI,12,2018-2019,MILAN,25,MILAN,EMPOLI,96',0,0,0,94,0,1,73,3,0,2,3,0,0,0
A.CONTI,12,2018-2019,MILAN,27,CHIEVOVERONA,MILAN,65',0,0,0,59,0,0,46,1,2,1,3,1,0,0
A.CONTI,12,2018-2019,MILAN,28,MILAN,INTER,28',0,0,0,27,0,0,16,2,0,1,2,1,0,0
A.CONTI,12,2018-2019,MILAN,29,SAMPDORIA,MILAN,51',0,0,0,41,0,0,26,0,0,1,1,0,0,0
A.CONTI,12,2018-2019,MILAN,33,PARMA,MILAN,67',0,0,0,44,0,0,35,0,0,4,2,0,0,0
A.CONTI,12,2018-2019,MILAN,34,TORINO,MILAN,72',0,0,0,35,0,0,24,2,0,1,0,1,0,0
A.CONTI,12,2018-2019,MILAN,37,MILAN,FROSINONE,9',0,0,0,9,0,0,7,0,0,0,0,0,0,0
A.CONTI,12,2018-2019,MILAN,38,SPAL,MILAN,14',0,0,0,9,0,0,3,0,0,1,0,0,0,0
