Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
A.LA GUMINA,20,2018-2019,EMPOLI,1,EMPOLI,CAGLIARI,82',0,0,0,17,0,0,9,1,2,2,2,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,2,GENOA,EMPOLI,79',0,0,1,24,1,0,10,1,2,1,4,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,3,CHIEVOVERONA,EMPOLI,81',0,0,2,14,2,0,6,1,1,0,5,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,4,EMPOLI,LAZIO,34',0,0,0,8,0,0,5,1,0,0,0,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,5,SASSUOLO,EMPOLI,67',0,0,1,10,1,0,4,0,1,0,3,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,6,EMPOLI,MILAN,67',0,0,1,24,1,0,9,0,0,1,1,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,7,PARMA,EMPOLI,6',0,0,1,4,1,0,1,0,0,0,0,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,8,EMPOLI,ROMA,14',0,0,0,1,0,0,1,0,0,0,0,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,9,FROSINONE,EMPOLI,95',0,0,3,17,3,1,9,0,1,2,0,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,10,EMPOLI,JUVENTUS,13',0,0,0,3,0,0,2,0,0,0,1,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,11,NAPOLI,EMPOLI,15',0,0,0,3,0,0,1,0,0,0,1,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,12,EMPOLI,UDINESE,36',0,0,0,15,0,0,7,0,0,2,2,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,13,EMPOLI,ATALANTA,90',1,0,2,28,2,0,11,2,1,1,4,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,14,SPAL,EMPOLI,75',0,0,0,13,1,0,4,0,1,1,0,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,15,EMPOLI,BOLOGNA,87',1,0,1,15,1,1,5,0,0,2,3,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,16,FIORENTINA,EMPOLI,97',0,0,0,25,0,0,8,3,7,1,1,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,17,EMPOLI,SAMPDORIA,97',0,0,0,13,0,0,5,3,2,0,4,1,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,18,TORINO,EMPOLI,44',0,0,0,10,0,0,5,0,0,1,1,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,19,EMPOLI,INTER,24',0,0,0,7,0,0,1,2,0,0,2,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,24,EMPOLI,SASSUOLO,24',0,0,0,7,1,0,3,1,0,1,1,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,25,MILAN,EMPOLI,28',0,0,0,3,0,0,2,0,0,0,1,0,0,0
A.LA GUMINA,20,2018-2019,EMPOLI,26,EMPOLI,PARMA,13',0,0,0,5,0,0,3,0,1,0,1,0,0,0
