Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
A.NAGY,8,2018-2019,BOLOGNA,1,BOLOGNA,SPAL,34',0,0,0,19,0,0,15,1,0,0,0,0,1,0
A.NAGY,8,2018-2019,BOLOGNA,5,BOLOGNA,ROMA,98',0,0,0,40,0,0,29,1,1,1,1,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,6,JUVENTUS,BOLOGNA,94',0,0,0,40,0,0,29,0,0,5,4,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,7,BOLOGNA,UDINESE,95',0,0,0,57,0,0,46,1,0,6,1,1,0,0
A.NAGY,8,2018-2019,BOLOGNA,8,CAGLIARI,BOLOGNA,98',0,0,1,39,1,0,28,1,0,1,1,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,9,BOLOGNA,TORINO,97',0,0,0,53,0,0,36,0,1,2,2,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,14,SAMPDORIA,BOLOGNA,8',0,0,0,1,0,0,1,0,0,0,1,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,15,EMPOLI,BOLOGNA,99',0,0,1,72,1,0,60,1,0,4,0,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,16,BOLOGNA,MILAN,95',0,0,0,56,0,0,41,0,3,7,5,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,17,PARMA,BOLOGNA,95',0,0,0,56,0,0,34,1,0,3,4,1,0,0
A.NAGY,8,2018-2019,BOLOGNA,18,BOLOGNA,LAZIO,93',0,0,0,52,0,0,33,2,2,12,1,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,19,NAPOLI,BOLOGNA,24',0,0,0,12,0,0,10,0,0,0,0,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,26,UDINESE,BOLOGNA,19',0,0,0,10,0,0,9,0,0,2,0,0,0,0
A.NAGY,8,2018-2019,BOLOGNA,30,ATALANTA,BOLOGNA,92',0,0,0,67,0,0,55,0,1,2,2,0,0,0
