Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,2,UDINESE,SAMPDORIA,95',0,0,1,62,1,0,40,1,2,1,4,1,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,3,SAMPDORIA,NAPOLI,95',0,0,0,60,0,1,42,0,0,2,2,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,4,FROSINONE,SAMPDORIA,90',0,0,0,63,0,0,54,0,2,3,1,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,5,SAMPDORIA,INTER,99',0,0,0,56,0,0,46,0,2,7,4,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,6,CAGLIARI,SAMPDORIA,95',0,0,0,98,0,0,78,3,3,3,4,1,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,7,SAMPDORIA,SPAL,98',0,0,0,61,0,0,46,0,0,5,0,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,8,ATALANTA,SAMPDORIA,95',0,0,0,71,0,0,48,0,1,4,2,1,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,9,SAMPDORIA,SASSUOLO,96',0,0,0,82,0,0,60,0,1,4,2,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,10,MILAN,SAMPDORIA,96',0,0,0,89,0,0,76,0,0,2,4,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,11,SAMPDORIA,TORINO,96',0,0,0,52,0,0,40,1,1,3,2,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,12,ROMA,SAMPDORIA,95',0,0,0,52,0,0,41,1,0,1,0,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,13,GENOA,SAMPDORIA,93',0,0,0,67,0,0,51,0,0,1,5,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,14,SAMPDORIA,BOLOGNA,96',0,0,0,60,0,0,44,2,0,3,5,1,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,15,LAZIO,SAMPDORIA,94',0,0,0,52,0,0,35,2,1,2,3,0,1,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,21,SAMPDORIA,UDINESE,94',0,0,1,69,1,0,58,1,2,3,2,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,22,NAPOLI,SAMPDORIA,93',0,0,0,52,1,0,46,3,1,3,2,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,23,SAMPDORIA,FROSINONE,96',0,0,0,117,0,0,88,1,3,1,4,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,24,INTER,SAMPDORIA,83',0,0,0,68,0,0,41,1,0,0,2,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,25,SAMPDORIA,CAGLIARI,15',0,0,0,19,0,0,13,0,1,3,2,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,26,SPAL,SAMPDORIA,100',0,0,0,46,0,1,32,2,2,2,3,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,27,SAMPDORIA,ATALANTA,38',0,0,0,30,0,0,22,0,0,0,3,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,28,SASSUOLO,SAMPDORIA,98',0,0,0,90,0,0,71,1,0,0,4,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,30,TORINO,SAMPDORIA,99',0,0,0,53,0,0,36,1,0,5,3,1,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,32,SAMPDORIA,GENOA,11',0,0,0,2,0,0,1,0,0,0,1,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,35,PARMA,SAMPDORIA,96',0,0,0,116,0,0,93,0,2,1,4,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,37,CHIEVOVERONA,SAMPDORIA,98',0,0,0,84,0,0,64,2,0,1,3,0,0,0
B.BERESZYNSKI,24,2018-2019,SAMPDORIA,38,SAMPDORIA,JUVENTUS,94',0,0,0,37,0,0,30,0,2,2,2,0,0,0
