Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
B.CESAR,12,2018-2019,CHIEVOVERONA,10,CAGLIARI,CHIEVOVERONA,94',0,0,0,66,0,0,55,1,0,2,4,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,15,PARMA,CHIEVOVERONA,21',0,0,0,7,0,0,5,0,0,0,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,18,SAMPDORIA,CHIEVOVERONA,96',0,0,0,54,0,0,35,2,1,3,3,1,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,21,CHIEVOVERONA,FIORENTINA,71',0,0,0,25,0,0,17,1,0,1,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,28,ATALANTA,CHIEVOVERONA,97',0,0,0,23,0,0,12,3,0,1,0,1,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,30,SASSUOLO,CHIEVOVERONA,95',0,0,0,48,0,0,40,0,0,1,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,31,BOLOGNA,CHIEVOVERONA,13',0,0,0,1,0,0,0,0,0,0,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,32,CHIEVOVERONA,NAPOLI,90',1,0,1,30,1,0,18,1,0,2,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,33,LAZIO,CHIEVOVERONA,97',0,0,0,34,0,0,20,3,0,1,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,34,CHIEVOVERONA,PARMA,94',0,0,0,50,0,0,42,0,0,4,2,1,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,35,CHIEVOVERONA,SPAL,92',0,0,0,40,0,0,29,0,0,1,2,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,36,INTER,CHIEVOVERONA,95',0,0,0,33,0,0,15,2,0,4,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,37,CHIEVOVERONA,SAMPDORIA,98',0,0,0,32,0,0,19,2,1,0,0,0,0,0
B.CESAR,12,2018-2019,CHIEVOVERONA,38,FROSINONE,CHIEVOVERONA,93',0,0,1,51,1,0,33,1,3,4,1,0,0,0
