Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
C.ROMERO,17,2018-2019,GENOA,9,JUVENTUS,GENOA,95',0,0,0,36,0,0,19,1,0,4,3,1,0,0
C.ROMERO,17,2018-2019,GENOA,10,GENOA,UDINESE,75',1,0,1,32,1,0,14,3,0,2,0,0,1,0
C.ROMERO,17,2018-2019,GENOA,11,INTER,GENOA,96',0,0,1,35,0,0,20,3,0,8,1,0,0,0
C.ROMERO,17,2018-2019,GENOA,12,GENOA,NAPOLI,95',0,0,1,35,1,0,12,2,1,3,3,0,0,0
C.ROMERO,17,2018-2019,GENOA,13,GENOA,SAMPDORIA,93',0,0,0,41,1,0,25,3,1,7,0,0,0,0
C.ROMERO,17,2018-2019,GENOA,14,TORINO,GENOA,98',0,0,0,25,0,0,9,1,3,5,2,0,0,0
C.ROMERO,17,2018-2019,GENOA,15,GENOA,SPAL,98',0,0,0,27,0,0,10,0,1,1,0,0,0,0
C.ROMERO,17,2018-2019,GENOA,16,ROMA,GENOA,95',0,0,0,39,0,0,25,1,1,7,2,0,0,0
C.ROMERO,17,2018-2019,GENOA,17,GENOA,ATALANTA,101',0,0,0,22,0,0,13,1,1,4,1,1,0,0
C.ROMERO,17,2018-2019,GENOA,18,CAGLIARI,GENOA,70',0,0,0,43,0,0,29,1,2,3,2,1,0,0
C.ROMERO,17,2018-2019,GENOA,19,GENOA,FIORENTINA,98',0,0,0,25,0,0,15,2,1,1,0,0,0,0
C.ROMERO,17,2018-2019,GENOA,20,GENOA,MILAN,95',0,0,0,32,0,0,25,2,1,4,3,1,0,0
C.ROMERO,17,2018-2019,GENOA,21,EMPOLI,GENOA,94',0,0,0,36,0,0,20,1,0,2,0,0,0,0
C.ROMERO,17,2018-2019,GENOA,22,GENOA,SASSUOLO,93',0,0,0,29,0,0,16,1,3,3,0,1,0,0
C.ROMERO,17,2018-2019,GENOA,24,GENOA,LAZIO,96',0,0,0,47,0,0,33,3,0,3,1,1,0,0
C.ROMERO,17,2018-2019,GENOA,25,CHIEVOVERONA,GENOA,96',0,0,0,38,0,0,25,0,0,3,2,0,0,0
C.ROMERO,17,2018-2019,GENOA,26,GENOA,FROSINONE,95',0,0,0,67,0,0,55,0,1,7,2,0,0,0
C.ROMERO,17,2018-2019,GENOA,27,PARMA,GENOA,96',0,0,0,49,0,0,41,2,0,5,0,0,0,0
C.ROMERO,17,2018-2019,GENOA,28,GENOA,JUVENTUS,96',0,0,1,43,1,0,33,1,0,3,2,1,0,0
C.ROMERO,17,2018-2019,GENOA,29,UDINESE,GENOA,93',0,0,0,57,0,0,45,1,2,3,0,0,0,0
C.ROMERO,17,2018-2019,GENOA,30,GENOA,INTER,39',0,0,0,10,0,0,7,1,0,3,0,0,0,1
C.ROMERO,17,2018-2019,GENOA,32,SAMPDORIA,GENOA,94',0,0,0,32,0,0,17,2,1,6,1,1,0,0
C.ROMERO,17,2018-2019,GENOA,33,GENOA,TORINO,97',0,0,0,42,0,0,22,2,4,5,1,0,0,0
C.ROMERO,17,2018-2019,GENOA,34,SPAL,GENOA,94',0,0,0,37,0,0,31,1,0,5,0,1,0,0
C.ROMERO,17,2018-2019,GENOA,35,GENOA,ROMA,96',1,0,1,37,2,0,26,0,0,2,2,0,0,0
C.ROMERO,17,2018-2019,GENOA,36,ATALANTA,GENOA,94',0,0,1,36,1,1,27,1,0,5,1,1,0,0
C.ROMERO,17,2018-2019,GENOA,38,FIORENTINA,GENOA,96',0,0,0,56,0,0,48,0,3,2,1,0,0,0
