Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
D.FALCINELLI,91,2018-2019,BOLOGNA,1,BOLOGNA,SPAL,22',0,0,0,7,0,0,4,0,0,0,1,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,2,FROSINONE,BOLOGNA,83',0,0,0,25,0,0,10,0,2,1,4,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,3,BOLOGNA,INTER,80',0,0,0,21,0,0,12,1,1,2,4,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,5,BOLOGNA,ROMA,69',0,0,0,12,1,1,4,0,3,0,2,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,6,JUVENTUS,BOLOGNA,69',0,0,1,27,2,0,11,0,3,2,0,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,7,BOLOGNA,UDINESE,77',0,0,0,23,1,0,13,1,2,2,4,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,8,CAGLIARI,BOLOGNA,80',0,0,0,25,1,0,10,3,1,0,4,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,9,BOLOGNA,TORINO,17',0,0,0,5,0,0,3,1,0,0,0,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,10,SASSUOLO,BOLOGNA,7',0,0,0,1,0,0,1,0,0,0,0,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,14,SAMPDORIA,BOLOGNA,60',0,0,1,23,0,0,10,1,2,1,5,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,15,EMPOLI,BOLOGNA,9',0,0,0,3,0,0,2,0,0,1,0,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,19,NAPOLI,BOLOGNA,56',0,0,0,24,2,0,9,2,2,1,1,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,24,ROMA,BOLOGNA,19',0,0,1,6,1,0,4,0,0,0,0,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,25,BOLOGNA,JUVENTUS,12',0,0,0,2,0,0,0,0,0,0,0,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,27,BOLOGNA,CAGLIARI,9',0,0,0,5,0,0,3,0,0,0,0,0,0,0
D.FALCINELLI,91,2018-2019,BOLOGNA,30,ATALANTA,BOLOGNA,92',0,0,1,43,2,0,23,1,2,0,3,0,0,0
