Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
E.RIGONI,24,2018-2019,ATALANTA,2,ROMA,ATALANTA,94',2,0,3,54,6,0,23,0,0,4,4,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,3,ATALANTA,CAGLIARI,96',0,0,1,48,2,0,24,1,1,1,5,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,4,SPAL,ATALANTA,38',0,0,0,25,0,0,14,2,1,1,3,1,0,0
E.RIGONI,24,2018-2019,ATALANTA,5,MILAN,ATALANTA,52',1,0,1,32,2,0,15,0,0,2,0,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,6,ATALANTA,TORINO,64',0,0,0,37,1,0,14,0,0,1,4,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,7,FIORENTINA,ATALANTA,25',0,0,0,12,1,0,4,2,0,0,2,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,9,CHIEVOVERONA,ATALANTA,10',0,0,0,5,0,0,1,0,0,0,1,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,10,ATALANTA,PARMA,12',0,0,0,12,0,0,7,0,0,0,0,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,11,BOLOGNA,ATALANTA,4',0,0,0,4,0,0,1,0,0,0,0,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,14,ATALANTA,NAPOLI,72',0,0,0,42,0,0,20,1,0,1,5,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,15,UDINESE,ATALANTA,61',0,0,0,40,0,0,15,0,1,1,5,0,0,0
E.RIGONI,24,2018-2019,ATALANTA,17,GENOA,ATALANTA,32',0,0,0,18,0,0,9,0,1,0,1,0,0,0
