Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
F.CAICEDO,20,2018-2019,LAZIO,3,LAZIO,FROSINONE,9',0,0,0,7,0,0,3,0,0,1,2,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,5,LAZIO,GENOA,64',1,0,2,31,2,0,14,0,0,1,2,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,6,UDINESE,LAZIO,56',0,0,0,11,0,0,10,1,1,0,0,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,7,ROMA,LAZIO,13',0,0,0,4,1,0,1,0,0,0,0,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,8,LAZIO,FIORENTINA,56',0,0,0,16,2,0,9,3,1,0,2,1,0,0
F.CAICEDO,20,2018-2019,LAZIO,10,LAZIO,INTER,70',0,0,0,14,1,0,8,1,3,1,2,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,11,LAZIO,SPAL,61',0,0,0,19,2,1,12,1,0,2,2,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,13,LAZIO,MILAN,15',0,0,0,2,0,0,2,0,0,0,0,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,14,CHIEVOVERONA,LAZIO,50',0,0,0,20,0,0,10,0,1,1,3,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,15,LAZIO,SAMPDORIA,55',0,0,0,14,0,0,5,2,2,4,3,1,0,0
F.CAICEDO,20,2018-2019,LAZIO,16,ATALANTA,LAZIO,20',0,0,0,7,0,0,4,0,0,0,0,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,18,BOLOGNA,LAZIO,61',0,0,1,21,0,0,7,2,0,0,1,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,19,LAZIO,TORINO,10',0,0,0,2,0,0,1,0,0,0,0,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,21,LAZIO,JUVENTUS,13',0,0,0,5,0,0,4,0,0,0,0,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,22,FROSINONE,LAZIO,59',1,0,3,25,3,0,12,1,0,1,1,1,0,0
F.CAICEDO,20,2018-2019,LAZIO,23,LAZIO,EMPOLI,85',1,0,1,29,1,0,12,2,2,2,6,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,24,GENOA,LAZIO,40',0,0,0,14,0,0,6,1,0,1,1,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,25,LAZIO,UDINESE,70',1,0,2,19,2,0,7,1,0,1,3,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,26,LAZIO,ROMA,65',1,0,1,17,1,0,7,2,1,1,1,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,28,LAZIO,PARMA,67',0,0,1,18,2,0,8,1,0,1,3,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,29,INTER,LAZIO,69',0,0,1,21,1,0,14,1,1,1,3,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,30,SPAL,LAZIO,35',0,0,0,17,0,0,12,2,2,0,2,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,31,LAZIO,SASSUOLO,63',0,0,1,32,0,0,23,1,0,1,1,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,32,MILAN,LAZIO,49',0,0,0,12,0,0,6,1,2,1,2,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,33,LAZIO,CHIEVOVERONA,97',1,0,1,27,1,0,13,0,3,2,1,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,34,SAMPDORIA,LAZIO,65',2,0,2,20,3,0,11,1,1,1,0,0,0,0
F.CAICEDO,20,2018-2019,LAZIO,35,LAZIO,ATALANTA,57',0,0,0,26,0,0,17,1,2,2,4,1,0,0
F.CAICEDO,20,2018-2019,LAZIO,36,CAGLIARI,LAZIO,96',0,0,0,49,2,0,37,1,2,1,2,0,0,0
