Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
G.GONZALEZ,3,2018-2019,BOLOGNA,1,BOLOGNA,SPAL,73',0,0,0,38,0,0,25,1,0,1,2,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,2,FROSINONE,BOLOGNA,94',0,0,0,66,0,0,42,0,0,3,2,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,4,GENOA,BOLOGNA,71',0,0,0,41,0,0,38,1,0,1,1,1,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,9,BOLOGNA,TORINO,33',0,0,0,17,0,0,13,1,0,1,0,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,10,SASSUOLO,BOLOGNA,96',0,0,0,24,0,1,11,1,1,1,2,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,11,BOLOGNA,ATALANTA,94',0,0,0,31,0,0,22,0,0,7,0,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,12,CHIEVOVERONA,BOLOGNA,22',0,0,0,12,0,0,7,0,0,1,0,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,15,EMPOLI,BOLOGNA,90',0,0,0,65,0,0,57,1,0,3,0,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,22,INTER,BOLOGNA,46',0,0,0,13,0,0,4,0,0,1,0,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,23,BOLOGNA,GENOA,95',0,0,0,66,0,0,45,1,2,3,0,0,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,30,ATALANTA,BOLOGNA,67',0,0,0,27,0,0,21,3,0,1,0,1,0,0
G.GONZALEZ,3,2018-2019,BOLOGNA,31,BOLOGNA,CHIEVOVERONA,8',0,0,0,3,0,0,3,0,0,0,0,0,0,0
