Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
H.TER AVEST,18,2018-2019,UDINESE,10,GENOA,UDINESE,33',0,0,0,12,0,0,8,0,0,0,0,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,11,UDINESE,MILAN,87',0,0,0,48,1,0,32,0,1,3,3,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,12,EMPOLI,UDINESE,84',0,0,0,67,0,0,44,0,0,0,1,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,13,UDINESE,ROMA,98',0,0,0,32,0,0,21,0,0,1,2,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,14,SASSUOLO,UDINESE,96',0,0,0,58,0,0,32,0,3,5,5,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,15,UDINESE,ATALANTA,96',0,0,0,51,0,0,28,1,0,3,5,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,16,INTER,UDINESE,92',0,0,0,53,1,0,38,0,1,4,3,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,17,UDINESE,FROSINONE,78',0,0,0,50,0,0,40,1,0,1,1,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,26,UDINESE,BOLOGNA,77',0,0,0,27,0,0,13,0,1,1,1,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,27,JUVENTUS,UDINESE,64',0,0,0,28,0,0,21,2,1,0,0,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,28,NAPOLI,UDINESE,74',0,0,0,32,0,1,18,0,0,1,5,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,30,MILAN,UDINESE,59',0,0,0,44,0,0,30,0,1,1,1,0,0,0
H.TER AVEST,18,2018-2019,UDINESE,38,CAGLIARI,UDINESE,96',0,0,2,57,2,0,33,0,0,0,0,0,0,0
