Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
M.BRIGHI,4,2018-2019,EMPOLI,6,EMPOLI,MILAN,14',0,0,0,2,0,0,1,0,0,0,1,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,12,EMPOLI,UDINESE,14',0,0,0,1,0,0,1,0,0,0,1,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,20,CAGLIARI,EMPOLI,57',0,0,0,20,0,0,13,2,0,4,2,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,24,EMPOLI,SASSUOLO,14',0,0,0,7,0,0,3,1,0,0,0,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,27,ROMA,EMPOLI,33',0,0,0,13,0,0,11,0,0,0,1,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,30,EMPOLI,NAPOLI,58',0,0,0,20,0,0,12,2,0,1,0,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,33,EMPOLI,SPAL,22',0,0,0,11,0,0,7,1,1,1,0,1,0,0
M.BRIGHI,4,2018-2019,EMPOLI,36,SAMPDORIA,EMPOLI,5',0,0,0,2,0,0,1,0,1,0,0,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,37,EMPOLI,TORINO,31',1,0,1,12,1,0,8,0,2,2,0,0,0,0
M.BRIGHI,4,2018-2019,EMPOLI,38,INTER,EMPOLI,27',0,0,0,15,0,0,11,0,3,1,0,0,0,0
