Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
M.FARES,93,2018-2019,SPAL,1,BOLOGNA,SPAL,95',0,0,0,51,0,0,34,1,3,1,1,1,0,0
M.FARES,93,2018-2019,SPAL,2,SPAL,PARMA,83',0,0,0,43,0,0,26,2,0,3,4,0,0,0
M.FARES,93,2018-2019,SPAL,3,TORINO,SPAL,95',0,0,1,42,1,0,17,0,0,1,2,0,0,0
M.FARES,93,2018-2019,SPAL,4,SPAL,ATALANTA,97',0,0,1,38,1,0,22,1,0,2,2,0,0,0
M.FARES,93,2018-2019,SPAL,5,FIORENTINA,SPAL,97',0,0,0,30,0,0,22,0,0,7,2,0,0,0
M.FARES,93,2018-2019,SPAL,6,SPAL,SASSUOLO,96',0,0,0,49,0,0,27,2,0,2,1,0,0,0
M.FARES,93,2018-2019,SPAL,7,SAMPDORIA,SPAL,24',0,0,0,13,0,0,10,1,0,1,0,0,0,0
M.FARES,93,2018-2019,SPAL,8,SPAL,INTER,95',0,0,0,41,0,1,24,2,1,1,3,0,0,0
M.FARES,93,2018-2019,SPAL,9,ROMA,SPAL,25',0,0,0,9,0,0,5,0,1,1,2,0,0,0
M.FARES,93,2018-2019,SPAL,10,SPAL,FROSINONE,98',0,0,1,59,2,0,38,3,2,4,2,1,0,0
M.FARES,93,2018-2019,SPAL,12,SPAL,CAGLIARI,96',0,0,0,53,0,0,34,1,1,4,4,0,0,0
M.FARES,93,2018-2019,SPAL,13,JUVENTUS,SPAL,93',0,0,0,66,0,0,46,2,0,0,2,1,0,0
M.FARES,93,2018-2019,SPAL,14,SPAL,EMPOLI,95',0,0,0,75,0,0,49,1,4,1,3,0,0,0
M.FARES,93,2018-2019,SPAL,15,GENOA,SPAL,98',0,0,2,80,2,0,54,1,0,2,2,0,0,0
M.FARES,93,2018-2019,SPAL,16,SPAL,CHIEVOVERONA,97',0,0,0,65,0,0,32,2,0,1,3,0,0,0
M.FARES,93,2018-2019,SPAL,17,NAPOLI,SPAL,97',0,0,1,65,1,0,51,0,3,3,9,0,0,0
M.FARES,93,2018-2019,SPAL,18,SPAL,UDINESE,95',0,0,0,52,0,0,36,0,0,2,3,0,0,0
M.FARES,93,2018-2019,SPAL,19,MILAN,SPAL,41',0,0,1,20,1,0,9,1,0,2,1,0,0,0
M.FARES,93,2018-2019,SPAL,20,SPAL,BOLOGNA,99',0,0,0,45,0,0,30,0,0,1,0,0,0,0
M.FARES,93,2018-2019,SPAL,21,PARMA,SPAL,96',1,0,1,67,1,0,40,1,1,4,2,1,0,0
M.FARES,93,2018-2019,SPAL,22,SPAL,TORINO,95',0,0,1,58,1,0,33,3,2,5,6,1,0,0
M.FARES,93,2018-2019,SPAL,24,SPAL,FIORENTINA,96',0,0,0,45,1,0,28,2,0,4,2,1,0,0
M.FARES,93,2018-2019,SPAL,25,SASSUOLO,SPAL,98',0,0,0,68,0,0,45,3,2,3,3,0,0,0
M.FARES,93,2018-2019,SPAL,26,SPAL,SAMPDORIA,100',0,0,0,74,1,0,47,2,1,2,6,1,0,0
M.FARES,93,2018-2019,SPAL,27,INTER,SPAL,101',0,0,1,57,0,0,32,0,2,6,3,0,0,0
M.FARES,93,2018-2019,SPAL,28,SPAL,ROMA,98',1,0,1,42,1,0,23,2,2,2,5,1,0,0
M.FARES,93,2018-2019,SPAL,29,FROSINONE,SPAL,95',0,0,1,54,1,0,29,0,2,8,4,0,0,0
M.FARES,93,2018-2019,SPAL,30,SPAL,LAZIO,99',0,0,2,38,2,0,16,2,4,4,7,0,0,0
M.FARES,93,2018-2019,SPAL,31,CAGLIARI,SPAL,99',0,0,0,54,0,0,27,1,1,0,7,1,0,0
M.FARES,93,2018-2019,SPAL,32,SPAL,JUVENTUS,95',0,0,0,60,0,0,30,2,1,4,4,1,0,0
M.FARES,93,2018-2019,SPAL,34,SPAL,GENOA,94',0,0,1,73,1,0,43,1,2,2,7,0,0,0
M.FARES,93,2018-2019,SPAL,35,CHIEVOVERONA,SPAL,92',0,0,1,51,0,0,35,0,2,3,2,0,0,0
M.FARES,93,2018-2019,SPAL,36,SPAL,NAPOLI,96',0,0,0,47,0,0,24,1,2,1,3,1,0,0
M.FARES,93,2018-2019,SPAL,37,UDINESE,SPAL,98',0,0,1,60,0,0,34,3,1,0,4,1,0,0
M.FARES,93,2018-2019,SPAL,38,SPAL,MILAN,99',1,0,2,55,2,0,30,3,0,1,0,0,0,0
