Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
M.MUSACCHIO,22,2018-2019,MILAN,1,MILAN,GENOA,94',0,0,1,84,1,0,70,1,1,2,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,2,NAPOLI,MILAN,97',0,0,0,80,1,0,71,1,0,5,5,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,3,MILAN,ROMA,96',0,0,0,70,0,0,58,1,0,5,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,4,CAGLIARI,MILAN,95',0,0,0,72,0,0,67,0,1,4,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,5,MILAN,ATALANTA,98',0,0,0,58,0,0,42,0,1,5,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,6,EMPOLI,MILAN,96',0,0,0,47,0,0,29,0,0,3,2,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,7,SASSUOLO,MILAN,95',0,0,0,44,0,0,30,0,1,1,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,8,MILAN,CHIEVOVERONA,94',0,0,0,84,0,0,69,2,0,3,2,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,9,INTER,MILAN,99',0,0,0,35,0,0,25,0,0,2,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,10,MILAN,SAMPDORIA,96',0,0,0,62,0,0,54,0,0,4,2,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,18,FROSINONE,MILAN,96',0,0,0,67,0,0,55,2,0,3,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,20,GENOA,MILAN,95',0,0,0,77,0,0,68,2,0,5,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,21,MILAN,NAPOLI,97',0,0,1,58,1,0,46,0,0,1,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,22,ROMA,MILAN,95',0,0,0,82,0,0,72,1,1,3,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,23,MILAN,CAGLIARI,90',0,0,0,66,0,0,56,1,1,0,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,24,ATALANTA,MILAN,96',0,0,0,43,0,0,35,0,0,3,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,25,MILAN,EMPOLI,96',0,0,0,97,0,0,81,1,0,4,3,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,26,MILAN,SASSUOLO,98',0,0,0,69,0,0,61,0,1,3,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,27,CHIEVOVERONA,MILAN,96',0,0,0,91,0,0,75,0,0,2,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,28,MILAN,INTER,99',1,0,1,83,1,0,65,1,0,4,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,29,SAMPDORIA,MILAN,97',0,0,0,63,0,0,54,2,0,3,0,1,0,0
M.MUSACCHIO,22,2018-2019,MILAN,30,MILAN,UDINESE,99',0,0,0,63,0,0,53,0,1,3,2,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,31,JUVENTUS,MILAN,99',0,0,0,60,0,0,51,2,0,3,3,1,0,0
M.MUSACCHIO,22,2018-2019,MILAN,32,MILAN,LAZIO,96',0,0,0,57,0,0,48,0,1,1,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,34,TORINO,MILAN,96',0,0,0,37,0,0,31,2,0,0,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,35,MILAN,BOLOGNA,98',0,0,0,56,1,0,45,1,2,2,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,36,FIORENTINA,MILAN,95',0,0,0,48,0,0,40,0,0,3,1,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,37,MILAN,FROSINONE,93',0,0,0,84,0,0,74,1,1,0,0,0,0,0
M.MUSACCHIO,22,2018-2019,MILAN,38,SPAL,MILAN,99',0,0,0,41,0,0,30,2,0,0,3,0,0,0
