Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
M.PAJAC,2,2018-2019,CAGLIARI,15,CAGLIARI,ROMA,31',0,0,0,22,0,0,9,1,0,1,1,0,0,0
M.PAJAC,2,2018-2019,CAGLIARI,17,LAZIO,CAGLIARI,50',0,0,0,31,0,0,19,1,0,2,2,0,0,0
M.PAJAC,2,2018-2019,CAGLIARI,19,UDINESE,CAGLIARI,34',0,0,0,15,0,0,10,0,0,0,0,0,0,0
M.PAJAC,6,2018-2019,EMPOLI,25,MILAN,EMPOLI,20',0,0,0,18,0,0,11,1,1,1,1,0,0,0
M.PAJAC,6,2018-2019,EMPOLI,28,EMPOLI,FROSINONE,72',1,0,2,38,2,0,25,2,1,2,0,0,0,0
M.PAJAC,6,2018-2019,EMPOLI,29,JUVENTUS,EMPOLI,79',0,0,0,47,0,0,29,0,1,2,1,0,0,0
M.PAJAC,6,2018-2019,EMPOLI,30,EMPOLI,NAPOLI,95',0,0,1,48,1,0,30,3,0,1,0,1,0,0
M.PAJAC,6,2018-2019,EMPOLI,31,UDINESE,EMPOLI,48',0,0,0,22,0,0,16,0,0,2,0,1,0,0
M.PAJAC,6,2018-2019,EMPOLI,34,BOLOGNA,EMPOLI,84',1,0,1,49,1,0,32,1,1,1,0,1,0,0
M.PAJAC,6,2018-2019,EMPOLI,35,EMPOLI,FIORENTINA,96',0,0,0,48,0,0,27,1,2,0,5,1,0,0
M.PAJAC,6,2018-2019,EMPOLI,36,SAMPDORIA,EMPOLI,98',0,0,0,63,0,0,40,0,1,2,1,0,0,0
M.PAJAC,6,2018-2019,EMPOLI,37,EMPOLI,TORINO,95',0,0,0,42,0,2,25,1,2,0,1,0,0,0
M.PAJAC,6,2018-2019,EMPOLI,38,INTER,EMPOLI,98',0,0,0,44,0,0,29,1,0,2,6,1,0,0
