Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
M.PAROLO,16,2018-2019,LAZIO,1,LAZIO,NAPOLI,91',0,0,1,35,0,0,26,0,0,4,0,0,0,0
M.PAROLO,16,2018-2019,LAZIO,2,JUVENTUS,LAZIO,66',0,0,0,30,1,0,19,1,1,2,3,1,0,0
M.PAROLO,16,2018-2019,LAZIO,3,LAZIO,FROSINONE,96',0,0,1,46,2,0,34,1,0,3,4,1,0,0
M.PAROLO,16,2018-2019,LAZIO,4,EMPOLI,LAZIO,95',1,0,1,34,1,0,25,1,1,6,1,1,0,0
M.PAROLO,16,2018-2019,LAZIO,5,LAZIO,GENOA,96',0,0,0,46,1,1,34,1,0,2,1,0,0,0
M.PAROLO,16,2018-2019,LAZIO,6,UDINESE,LAZIO,97',0,0,0,42,1,0,16,0,1,3,5,0,0,0
M.PAROLO,16,2018-2019,LAZIO,7,ROMA,LAZIO,57',0,0,0,20,0,0,15,0,0,3,1,0,0,0
M.PAROLO,16,2018-2019,LAZIO,8,LAZIO,FIORENTINA,97',0,0,1,31,1,0,17,3,0,5,2,0,0,0
M.PAROLO,16,2018-2019,LAZIO,9,PARMA,LAZIO,94',0,0,0,55,0,0,38,2,1,3,2,0,0,0
M.PAROLO,16,2018-2019,LAZIO,10,LAZIO,INTER,95',0,0,0,35,1,0,17,1,0,1,3,0,0,0
M.PAROLO,16,2018-2019,LAZIO,11,LAZIO,SPAL,93',1,0,3,46,2,0,26,3,0,3,3,0,0,0
M.PAROLO,16,2018-2019,LAZIO,12,SASSUOLO,LAZIO,93',1,0,1,46,1,0,24,3,3,2,0,0,0,0
M.PAROLO,16,2018-2019,LAZIO,13,LAZIO,MILAN,97',0,0,0,65,1,0,37,0,0,4,8,0,0,0
M.PAROLO,16,2018-2019,LAZIO,14,CHIEVOVERONA,LAZIO,97',0,0,1,57,1,0,29,1,0,0,3,0,0,0
M.PAROLO,16,2018-2019,LAZIO,15,LAZIO,SAMPDORIA,103',0,0,0,40,0,1,23,1,0,3,1,0,0,0
M.PAROLO,16,2018-2019,LAZIO,16,ATALANTA,LAZIO,98',0,0,0,51,0,0,25,2,2,2,2,1,0,0
M.PAROLO,16,2018-2019,LAZIO,17,LAZIO,CAGLIARI,96',0,0,0,50,0,0,36,3,1,5,4,0,0,0
M.PAROLO,16,2018-2019,LAZIO,18,BOLOGNA,LAZIO,26',0,0,0,11,0,0,7,1,0,0,0,0,0,0
M.PAROLO,16,2018-2019,LAZIO,19,LAZIO,TORINO,99',0,0,0,56,0,0,32,1,0,1,3,0,0,0
M.PAROLO,16,2018-2019,LAZIO,20,NAPOLI,LAZIO,97',0,0,0,33,0,0,23,2,0,0,2,0,0,0
M.PAROLO,16,2018-2019,LAZIO,21,LAZIO,JUVENTUS,97',0,0,1,54,1,0,35,3,0,4,3,0,0,0
M.PAROLO,16,2018-2019,LAZIO,22,FROSINONE,LAZIO,95',0,0,1,55,1,0,37,2,1,3,3,1,0,0
M.PAROLO,16,2018-2019,LAZIO,25,LAZIO,UDINESE,95',0,0,2,51,3,0,33,0,2,5,1,0,0,0
M.PAROLO,16,2018-2019,LAZIO,26,LAZIO,ROMA,25',0,0,0,8,0,0,4,0,0,0,1,0,0,0
M.PAROLO,16,2018-2019,LAZIO,29,INTER,LAZIO,28',0,0,0,8,0,0,6,0,0,2,0,0,0,0
M.PAROLO,16,2018-2019,LAZIO,30,SPAL,LAZIO,6',0,0,0,6,0,0,2,0,0,0,0,1,0,0
M.PAROLO,16,2018-2019,LAZIO,31,LAZIO,SASSUOLO,69',0,0,0,27,2,0,21,3,0,5,2,1,0,0
M.PAROLO,16,2018-2019,LAZIO,32,MILAN,LAZIO,15',0,0,0,9,0,0,5,0,0,0,0,0,0,0
M.PAROLO,16,2018-2019,LAZIO,33,LAZIO,CHIEVOVERONA,59',0,0,2,31,1,0,21,0,1,1,0,0,0,0
M.PAROLO,16,2018-2019,LAZIO,34,SAMPDORIA,LAZIO,96',0,0,0,33,0,0,19,3,2,4,1,0,0,0
M.PAROLO,16,2018-2019,LAZIO,35,LAZIO,ATALANTA,96',1,0,3,46,1,0,29,1,0,2,2,0,0,0
M.PAROLO,16,2018-2019,LAZIO,36,CAGLIARI,LAZIO,96',0,0,0,43,1,0,28,3,0,0,5,0,0,0
M.PAROLO,16,2018-2019,LAZIO,37,LAZIO,BOLOGNA,94',0,0,0,46,1,0,30,3,1,2,1,0,0,0
M.PAROLO,16,2018-2019,LAZIO,38,TORINO,LAZIO,93',0,0,1,53,0,1,42,0,0,2,3,0,0,0
