Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
M.VELOSO,44,2018-2019,GENOA,1,MILAN,GENOA,28',0,0,0,14,0,0,10,1,0,1,2,1,0,0
M.VELOSO,44,2018-2019,GENOA,11,INTER,GENOA,35',0,0,1,23,0,0,17,1,0,1,1,1,0,0
M.VELOSO,44,2018-2019,GENOA,12,GENOA,NAPOLI,59',0,0,0,25,0,0,17,0,0,3,3,0,0,0
M.VELOSO,44,2018-2019,GENOA,13,GENOA,SAMPDORIA,93',0,0,0,55,2,0,29,1,1,0,3,0,0,0
M.VELOSO,44,2018-2019,GENOA,15,GENOA,SPAL,70',0,0,0,28,0,0,16,2,0,2,0,1,0,0
M.VELOSO,44,2018-2019,GENOA,17,GENOA,ATALANTA,51',0,0,0,31,0,0,12,2,1,3,0,0,0,0
M.VELOSO,44,2018-2019,GENOA,18,CAGLIARI,GENOA,16',0,0,0,16,0,0,11,0,0,1,0,0,0,0
M.VELOSO,44,2018-2019,GENOA,19,GENOA,FIORENTINA,36',0,0,0,14,0,0,8,2,0,0,0,0,0,0
M.VELOSO,44,2018-2019,GENOA,20,GENOA,MILAN,86',0,0,2,40,2,0,30,2,0,4,0,0,0,0
M.VELOSO,44,2018-2019,GENOA,21,EMPOLI,GENOA,94',0,0,0,58,0,0,42,1,1,3,4,0,0,0
M.VELOSO,44,2018-2019,GENOA,22,GENOA,SASSUOLO,17',0,0,0,7,0,0,4,1,0,0,0,0,0,0
M.VELOSO,44,2018-2019,GENOA,23,BOLOGNA,GENOA,78',0,0,0,36,0,0,20,2,2,1,3,0,0,0
M.VELOSO,44,2018-2019,GENOA,25,CHIEVOVERONA,GENOA,31',0,0,1,18,1,0,10,1,0,2,0,0,0,0
M.VELOSO,44,2018-2019,GENOA,28,GENOA,JUVENTUS,19',0,0,0,6,0,0,3,0,0,0,0,0,0,0
M.VELOSO,44,2018-2019,GENOA,31,NAPOLI,GENOA,82',0,0,0,33,0,0,18,1,2,1,2,0,0,0
M.VELOSO,44,2018-2019,GENOA,32,SAMPDORIA,GENOA,94',0,0,1,66,2,0,37,2,0,2,5,1,0,0
M.VELOSO,44,2018-2019,GENOA,33,GENOA,TORINO,68',0,0,0,39,0,0,24,3,0,2,1,1,0,0
M.VELOSO,44,2018-2019,GENOA,35,GENOA,ROMA,96',0,0,1,56,1,1,32,3,1,3,2,0,0,0
M.VELOSO,44,2018-2019,GENOA,36,ATALANTA,GENOA,94',0,0,1,45,2,0,26,3,0,1,2,1,0,0
M.VELOSO,44,2018-2019,GENOA,37,GENOA,CAGLIARI,96',0,0,2,62,0,0,27,1,1,1,1,1,0,0
M.VELOSO,44,2018-2019,GENOA,38,FIORENTINA,GENOA,96',0,0,1,37,1,0,28,1,0,2,0,0,0,0
