Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
MIRANDA,23,2018-2019,INTER,1,SASSUOLO,INTER,95',0,0,0,86,0,0,76,3,2,2,4,1,0,0
MIRANDA,23,2018-2019,INTER,5,SAMPDORIA,INTER,99',0,0,0,63,0,0,48,1,0,7,3,1,0,0
MIRANDA,23,2018-2019,INTER,7,INTER,CAGLIARI,95',0,0,0,59,0,0,44,2,1,6,1,0,0,0
MIRANDA,23,2018-2019,INTER,8,SPAL,INTER,95',0,0,0,34,0,0,23,2,1,4,1,1,0,0
MIRANDA,23,2018-2019,INTER,10,LAZIO,INTER,95',0,0,0,79,0,0,64,2,0,4,3,0,0,0
MIRANDA,23,2018-2019,INTER,12,ATALANTA,INTER,74',0,0,0,45,0,0,35,1,2,1,2,0,0,0
MIRANDA,23,2018-2019,INTER,15,JUVENTUS,INTER,96',0,0,0,56,0,0,44,1,0,3,2,0,0,0
MIRANDA,23,2018-2019,INTER,21,TORINO,INTER,57',0,0,0,38,0,0,27,1,0,2,1,0,0,0
MIRANDA,23,2018-2019,INTER,27,INTER,SPAL,50',0,0,0,34,0,0,27,1,1,0,0,0,0,0
MIRANDA,23,2018-2019,INTER,29,INTER,LAZIO,96',0,0,0,68,0,0,61,1,1,3,0,0,0,0
MIRANDA,23,2018-2019,INTER,30,GENOA,INTER,91',0,0,0,82,0,0,75,2,0,3,1,0,0,0
MIRANDA,23,2018-2019,INTER,31,INTER,ATALANTA,94',0,0,0,69,0,0,63,1,0,4,0,0,0,0
MIRANDA,23,2018-2019,INTER,36,INTER,CHIEVOVERONA,95',0,0,1,89,1,0,72,0,0,2,6,0,0,0
MIRANDA,23,2018-2019,INTER,37,NAPOLI,INTER,94',0,0,0,68,0,0,57,0,0,2,0,0,0,0
