Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
N.OPOKU,4,2018-2019,UDINESE,2,UDINESE,SAMPDORIA,2',0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.OPOKU,4,2018-2019,UDINESE,9,UDINESE,NAPOLI,65',0,0,0,36,0,0,29,1,0,5,1,1,0,0
N.OPOKU,4,2018-2019,UDINESE,10,GENOA,UDINESE,97',0,0,0,54,0,0,44,2,0,1,1,1,0,0
N.OPOKU,4,2018-2019,UDINESE,11,UDINESE,MILAN,103',0,0,0,40,0,0,27,0,0,1,2,0,0,0
N.OPOKU,4,2018-2019,UDINESE,18,SPAL,UDINESE,95',0,0,0,43,0,0,34,1,1,2,2,0,0,0
N.OPOKU,4,2018-2019,UDINESE,19,UDINESE,CAGLIARI,96',0,0,0,58,1,0,42,0,1,4,0,0,0,0
N.OPOKU,4,2018-2019,UDINESE,20,UDINESE,PARMA,97',0,0,1,49,0,0,39,2,1,7,1,1,0,0
N.OPOKU,4,2018-2019,UDINESE,21,SAMPDORIA,UDINESE,78',0,0,0,26,0,0,21,1,0,3,1,1,0,0
N.OPOKU,4,2018-2019,UDINESE,24,UDINESE,CHIEVOVERONA,83',0,0,0,24,0,0,18,0,0,3,2,0,0,0
N.OPOKU,4,2018-2019,UDINESE,27,JUVENTUS,UDINESE,70',0,0,0,34,0,0,28,2,0,2,1,1,0,0
N.OPOKU,4,2018-2019,UDINESE,30,MILAN,UDINESE,99',0,0,0,28,0,0,21,1,0,2,1,0,0,0
N.OPOKU,4,2018-2019,UDINESE,31,UDINESE,EMPOLI,99',0,0,0,29,1,0,23,0,0,2,0,0,0,0
