Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
P.CUTRONE,63,2018-2019,MILAN,1,MILAN,GENOA,94',0,0,1,26,0,0,13,1,4,0,5,0,0,0
P.CUTRONE,63,2018-2019,MILAN,2,NAPOLI,MILAN,12',0,0,0,8,0,0,2,0,1,0,0,0,0,0
P.CUTRONE,63,2018-2019,MILAN,3,MILAN,ROMA,12',1,0,2,8,2,0,3,0,0,1,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,6,EMPOLI,MILAN,21',0,0,0,5,0,0,1,0,0,0,0,0,0,0
P.CUTRONE,63,2018-2019,MILAN,7,SASSUOLO,MILAN,23',0,0,0,12,0,0,7,1,0,1,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,8,MILAN,CHIEVOVERONA,17',0,0,0,5,0,0,1,0,0,0,2,0,0,0
P.CUTRONE,63,2018-2019,MILAN,9,INTER,MILAN,21',0,0,0,9,0,0,7,0,0,0,0,0,0,0
P.CUTRONE,63,2018-2019,MILAN,10,MILAN,SAMPDORIA,77',1,0,1,25,1,1,15,3,2,1,8,0,0,0
P.CUTRONE,63,2018-2019,MILAN,11,UDINESE,MILAN,103',0,0,1,28,1,0,9,0,0,0,2,0,0,0
P.CUTRONE,63,2018-2019,MILAN,12,MILAN,JUVENTUS,32',0,0,0,11,0,0,4,1,1,0,2,0,0,0
P.CUTRONE,63,2018-2019,MILAN,13,LAZIO,MILAN,97',0,0,0,18,0,0,9,3,1,0,4,0,0,0
P.CUTRONE,63,2018-2019,MILAN,14,MILAN,PARMA,96',1,0,3,22,3,0,6,0,1,1,5,0,0,0
P.CUTRONE,63,2018-2019,MILAN,15,MILAN,TORINO,98',0,0,1,38,2,0,18,0,2,5,4,0,0,0
P.CUTRONE,63,2018-2019,MILAN,16,BOLOGNA,MILAN,61',0,0,1,18,0,0,10,0,0,0,3,0,0,0
P.CUTRONE,63,2018-2019,MILAN,17,MILAN,FIORENTINA,27',0,0,0,3,0,0,2,0,0,0,0,0,0,0
P.CUTRONE,63,2018-2019,MILAN,18,FROSINONE,MILAN,96',0,0,1,34,2,0,15,0,0,0,2,0,0,0
P.CUTRONE,63,2018-2019,MILAN,19,MILAN,SPAL,32',0,0,0,14,0,0,5,2,0,0,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,20,GENOA,MILAN,95',0,0,0,20,0,1,9,2,0,1,5,1,0,0
P.CUTRONE,63,2018-2019,MILAN,21,MILAN,NAPOLI,72',0,0,0,31,1,0,15,3,0,1,3,1,0,0
P.CUTRONE,63,2018-2019,MILAN,22,ROMA,MILAN,7',0,0,1,4,1,0,0,0,0,0,0,0,0,0
P.CUTRONE,63,2018-2019,MILAN,23,MILAN,CAGLIARI,25',0,0,0,10,1,0,4,1,0,1,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,24,ATALANTA,MILAN,26',0,0,0,13,0,0,5,1,0,0,4,0,0,0
P.CUTRONE,63,2018-2019,MILAN,25,MILAN,EMPOLI,25',0,0,0,9,0,0,4,0,1,0,0,0,0,0
P.CUTRONE,63,2018-2019,MILAN,26,MILAN,SASSUOLO,12',0,0,0,3,0,0,2,1,0,0,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,28,MILAN,INTER,39',0,0,1,7,1,0,3,3,1,1,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,29,SAMPDORIA,MILAN,32',0,0,2,9,1,0,4,0,0,0,0,0,0,0
P.CUTRONE,63,2018-2019,MILAN,30,MILAN,UDINESE,99',0,0,1,37,2,0,16,1,1,2,4,0,0,0
P.CUTRONE,63,2018-2019,MILAN,31,JUVENTUS,MILAN,10',0,0,0,2,0,0,2,0,0,0,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,32,MILAN,LAZIO,13',0,0,0,11,1,0,4,2,0,0,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,33,PARMA,MILAN,39',0,0,0,7,0,0,2,0,1,1,2,0,0,0
P.CUTRONE,63,2018-2019,MILAN,34,TORINO,MILAN,96',0,0,0,34,0,0,18,0,3,0,4,0,0,0
P.CUTRONE,63,2018-2019,MILAN,36,FIORENTINA,MILAN,21',0,0,0,6,1,0,2,0,0,1,2,0,0,0
P.CUTRONE,63,2018-2019,MILAN,37,MILAN,FROSINONE,42',0,0,0,7,0,0,3,2,0,0,1,0,0,0
P.CUTRONE,63,2018-2019,MILAN,38,SPAL,MILAN,31',0,0,1,15,0,0,4,0,0,0,0,0,0,0
