Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
PEDRO PEREIRA,32,2018-2019,GENOA,4,GENOA,BOLOGNA,19',0,0,0,11,0,0,6,0,2,1,2,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,6,GENOA,CHIEVOVERONA,96',0,0,0,72,0,0,40,2,0,0,2,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,7,FROSINONE,GENOA,25',0,0,0,14,0,0,7,3,0,0,2,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,8,GENOA,PARMA,73',0,0,0,48,0,0,31,1,0,2,2,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,9,JUVENTUS,GENOA,80',0,0,0,33,0,0,25,1,1,1,4,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,10,GENOA,UDINESE,97',0,0,0,42,0,0,26,1,0,3,3,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,11,INTER,GENOA,96',0,0,0,51,0,0,33,0,0,1,5,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,13,GENOA,SAMPDORIA,23',0,0,0,9,0,0,5,0,0,0,1,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,15,GENOA,SPAL,49',0,0,0,17,0,0,11,0,0,1,1,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,16,ROMA,GENOA,35',0,0,0,16,0,0,10,0,0,0,1,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,17,GENOA,ATALANTA,13',0,0,0,4,0,1,2,1,0,1,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,18,CAGLIARI,GENOA,97',0,0,0,49,0,0,35,0,0,2,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,20,GENOA,MILAN,17',0,0,0,8,0,0,6,0,0,0,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,21,EMPOLI,GENOA,4',0,0,0,2,0,0,2,0,0,0,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,22,GENOA,SASSUOLO,14',0,0,0,6,0,0,2,0,0,0,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,23,BOLOGNA,GENOA,12',0,0,0,2,0,0,1,1,0,0,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,24,GENOA,LAZIO,7',0,0,0,2,0,0,0,0,0,0,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,27,PARMA,GENOA,84',0,0,0,64,0,0,45,0,0,4,7,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,28,GENOA,JUVENTUS,96',0,0,0,59,0,0,34,0,0,3,4,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,29,UDINESE,GENOA,93',0,0,0,78,0,0,39,3,2,1,4,1,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,30,GENOA,INTER,91',0,0,0,34,0,0,20,0,2,3,3,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,31,NAPOLI,GENOA,98',0,0,0,31,0,0,22,1,0,3,1,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,32,SAMPDORIA,GENOA,94',0,0,0,46,0,0,17,0,1,1,3,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,36,ATALANTA,GENOA,38',0,0,0,22,0,0,17,2,1,2,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,37,GENOA,CAGLIARI,46',0,0,0,31,0,0,15,0,0,1,0,0,0,0
PEDRO PEREIRA,32,2018-2019,GENOA,38,FIORENTINA,GENOA,82',0,0,0,18,0,0,9,0,0,0,2,0,0,0
