Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
R.CHIBSAH,66,2018-2019,FROSINONE,1,ATALANTA,FROSINONE,95',0,0,0,37,0,0,27,2,1,4,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,2,FROSINONE,BOLOGNA,94',0,0,1,43,2,0,28,4,1,4,6,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,3,LAZIO,FROSINONE,96',0,0,0,33,0,0,20,0,1,9,8,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,4,FROSINONE,SAMPDORIA,90',0,0,0,32,0,0,17,1,2,3,5,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,5,FROSINONE,JUVENTUS,95',0,0,0,26,0,0,14,3,0,3,6,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,6,ROMA,FROSINONE,92',0,0,1,35,1,0,22,0,2,1,3,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,7,FROSINONE,GENOA,94',0,0,2,42,2,0,29,6,1,4,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,8,TORINO,FROSINONE,95',0,0,0,40,0,0,26,1,1,8,2,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,9,FROSINONE,EMPOLI,95',0,0,0,50,0,0,33,2,1,6,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,10,SPAL,FROSINONE,98',1,0,1,52,1,0,32,1,1,5,11,1,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,11,PARMA,FROSINONE,70',0,0,0,48,0,0,28,3,2,2,1,1,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,12,FROSINONE,FIORENTINA,94',0,0,0,56,0,0,40,0,0,1,1,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,13,INTER,FROSINONE,95',0,0,2,43,2,0,21,1,1,3,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,14,FROSINONE,CAGLIARI,96',0,0,1,43,1,0,25,0,2,0,5,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,15,NAPOLI,FROSINONE,94',0,0,0,41,0,0,27,2,2,3,7,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,16,FROSINONE,SASSUOLO,65',0,0,0,24,0,0,16,3,0,0,2,1,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,17,UDINESE,FROSINONE,90',0,0,3,46,2,0,27,1,0,3,2,1,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,18,FROSINONE,MILAN,96',0,0,0,43,1,0,27,2,1,3,2,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,19,CHIEVOVERONA,FROSINONE,100',0,0,1,37,1,0,24,0,0,2,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,20,FROSINONE,ATALANTA,93',0,0,0,37,1,0,29,2,0,4,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,21,BOLOGNA,FROSINONE,95',0,0,0,42,0,0,31,1,2,3,3,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,22,FROSINONE,LAZIO,95',0,0,0,71,0,0,41,1,3,5,6,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,23,SAMPDORIA,FROSINONE,96',0,0,0,34,0,0,18,3,2,5,3,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,24,JUVENTUS,FROSINONE,81',0,0,0,37,0,0,23,4,0,7,6,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,25,FROSINONE,ROMA,89',0,0,0,34,0,0,24,1,0,3,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,26,GENOA,FROSINONE,95',0,0,0,34,0,0,15,0,3,2,4,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,27,FROSINONE,TORINO,94',0,0,0,39,0,0,18,1,2,2,3,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,28,EMPOLI,FROSINONE,63',0,0,1,35,0,0,27,1,0,0,1,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,30,FROSINONE,PARMA,26',0,0,0,9,0,0,7,0,0,1,0,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,31,FIORENTINA,FROSINONE,98',0,0,0,24,0,0,14,1,0,1,3,0,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,32,FROSINONE,INTER,95',0,0,0,38,0,0,30,1,2,4,0,1,0,0
R.CHIBSAH,66,2018-2019,FROSINONE,35,SASSUOLO,FROSINONE,23',0,0,0,7,0,0,5,0,0,0,0,0,0,0
