Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
R.DE PAUL,10,2018-2019,UDINESE,1,PARMA,UDINESE,87',1,0,1,56,1,0,30,1,3,1,2,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,2,UDINESE,SAMPDORIA,95',1,0,1,64,1,0,25,1,2,6,9,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,3,FIORENTINA,UDINESE,95',0,0,0,48,1,0,28,0,4,6,1,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,4,UDINESE,TORINO,96',1,0,1,45,1,0,20,0,2,1,3,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,5,CHIEVOVERONA,UDINESE,94',1,0,1,65,1,1,36,0,4,6,3,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,6,UDINESE,LAZIO,97',0,0,1,75,1,0,44,1,4,0,2,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,7,BOLOGNA,UDINESE,95',0,0,1,82,3,1,53,2,2,3,4,1,0,0
R.DE PAUL,10,2018-2019,UDINESE,8,UDINESE,JUVENTUS,95',0,0,1,80,0,0,53,1,2,4,10,1,0,0
R.DE PAUL,10,2018-2019,UDINESE,9,UDINESE,NAPOLI,100',0,0,0,64,0,0,39,0,3,4,11,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,10,GENOA,UDINESE,97',1,0,2,77,2,1,40,1,3,0,4,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,11,UDINESE,MILAN,95',0,0,2,72,0,0,40,0,3,1,3,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,12,EMPOLI,UDINESE,97',0,0,2,89,2,0,45,0,1,1,9,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,13,UDINESE,ROMA,80',1,0,1,23,1,0,10,0,2,2,3,1,0,0
R.DE PAUL,10,2018-2019,UDINESE,14,SASSUOLO,UDINESE,96',0,0,0,36,0,0,16,2,3,0,5,1,0,0
R.DE PAUL,10,2018-2019,UDINESE,15,UDINESE,ATALANTA,96',0,0,0,45,0,0,24,0,1,0,7,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,16,INTER,UDINESE,95',0,0,1,65,0,0,36,0,1,5,10,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,17,UDINESE,FROSINONE,98',0,0,0,61,1,0,37,0,4,2,3,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,18,SPAL,UDINESE,95',0,0,1,69,1,0,44,1,4,4,7,1,0,0
R.DE PAUL,10,2018-2019,UDINESE,20,UDINESE,PARMA,97',0,0,4,96,3,0,54,3,2,1,5,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,21,SAMPDORIA,UDINESE,94',0,0,0,57,0,0,30,1,3,4,10,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,22,UDINESE,FIORENTINA,75',0,0,0,56,1,0,27,0,2,3,12,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,23,TORINO,UDINESE,103',0,0,3,45,3,0,28,3,1,3,5,1,0,0
R.DE PAUL,10,2018-2019,UDINESE,24,UDINESE,CHIEVOVERONA,97',0,0,2,71,0,0,34,1,4,5,3,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,25,LAZIO,UDINESE,76',0,0,2,59,1,0,35,0,3,3,2,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,26,UDINESE,BOLOGNA,96',1,0,2,49,1,0,22,2,2,2,4,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,27,JUVENTUS,UDINESE,95',0,0,0,61,0,1,39,1,2,1,4,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,28,NAPOLI,UDINESE,101',0,0,0,63,0,0,43,1,1,6,4,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,29,UDINESE,GENOA,93',0,0,0,47,1,0,18,0,3,3,10,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,30,MILAN,UDINESE,99',0,0,0,73,1,0,46,2,4,7,3,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,31,UDINESE,EMPOLI,99',2,0,2,57,2,0,29,0,1,2,4,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,32,ROMA,UDINESE,94',0,0,0,66,0,0,41,0,2,4,5,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,33,UDINESE,SASSUOLO,96',0,0,1,63,2,0,30,0,2,0,3,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,34,ATALANTA,UDINESE,94',0,0,1,54,1,0,26,0,1,4,5,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,35,UDINESE,INTER,94',0,0,0,59,0,0,30,2,3,5,7,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,36,FROSINONE,UDINESE,95',0,0,4,61,0,1,29,1,7,1,2,0,0,0
R.DE PAUL,10,2018-2019,UDINESE,37,UDINESE,SPAL,98',0,0,0,59,0,3,32,3,5,2,5,1,0,0
