Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
S.NZONZI,42,2018-2019,ROMA,2,ROMA,ATALANTA,49',0,0,1,38,1,0,26,1,0,0,1,1,0,0
S.NZONZI,42,2018-2019,ROMA,3,MILAN,ROMA,96',0,0,0,73,0,0,66,0,0,2,3,0,0,0
S.NZONZI,42,2018-2019,ROMA,4,ROMA,CHIEVOVERONA,97',0,0,0,66,0,0,63,0,0,4,0,0,0,0
S.NZONZI,42,2018-2019,ROMA,6,ROMA,FROSINONE,92',0,0,1,112,0,0,101,0,1,7,2,0,0,0
S.NZONZI,42,2018-2019,ROMA,7,ROMA,LAZIO,97',0,0,0,43,0,0,36,0,0,2,3,0,0,0
S.NZONZI,42,2018-2019,ROMA,8,EMPOLI,ROMA,93',1,0,1,66,1,0,54,2,1,2,7,0,0,0
S.NZONZI,42,2018-2019,ROMA,9,ROMA,SPAL,95',0,0,0,96,0,0,83,2,0,4,4,0,0,0
S.NZONZI,42,2018-2019,ROMA,10,NAPOLI,ROMA,95',0,0,0,56,0,0,40,1,0,3,7,1,0,0
S.NZONZI,42,2018-2019,ROMA,11,FIORENTINA,ROMA,97',0,0,0,59,0,0,47,4,1,3,2,1,0,0
S.NZONZI,42,2018-2019,ROMA,12,ROMA,SAMPDORIA,95',0,0,0,53,0,0,46,0,0,2,1,0,0,0
S.NZONZI,42,2018-2019,ROMA,13,UDINESE,ROMA,98',0,0,0,95,1,0,76,1,1,6,3,0,0,0
S.NZONZI,42,2018-2019,ROMA,14,ROMA,INTER,95',0,0,0,63,0,0,49,0,2,5,2,0,0,0
S.NZONZI,42,2018-2019,ROMA,15,CAGLIARI,ROMA,96',0,0,0,57,0,0,47,1,1,2,1,0,0,0
S.NZONZI,42,2018-2019,ROMA,16,ROMA,GENOA,95',0,0,0,65,0,0,52,0,0,2,2,0,0,0
S.NZONZI,42,2018-2019,ROMA,17,JUVENTUS,ROMA,79',0,0,1,63,0,0,50,1,0,4,2,1,0,0
S.NZONZI,42,2018-2019,ROMA,18,ROMA,SASSUOLO,95',0,0,0,51,0,0,44,0,1,7,3,0,0,0
S.NZONZI,42,2018-2019,ROMA,19,PARMA,ROMA,95',0,0,0,65,0,0,56,1,0,3,3,0,0,0
S.NZONZI,42,2018-2019,ROMA,21,ATALANTA,ROMA,95',0,0,0,51,0,1,40,1,0,2,2,1,0,0
S.NZONZI,42,2018-2019,ROMA,23,CHIEVOVERONA,ROMA,94',0,0,0,55,0,1,45,1,0,4,2,0,0,0
S.NZONZI,42,2018-2019,ROMA,24,ROMA,BOLOGNA,95',0,0,0,50,0,0,40,1,0,4,0,0,0,0
S.NZONZI,42,2018-2019,ROMA,25,FROSINONE,ROMA,66',0,0,0,52,0,0,36,0,2,5,4,0,0,0
S.NZONZI,42,2018-2019,ROMA,27,ROMA,EMPOLI,97',0,0,0,69,0,0,63,1,0,4,0,0,0,0
S.NZONZI,42,2018-2019,ROMA,28,SPAL,ROMA,98',0,0,0,48,0,0,33,2,1,1,1,1,0,0
S.NZONZI,42,2018-2019,ROMA,29,ROMA,NAPOLI,96',0,0,2,55,2,0,44,1,0,1,2,0,0,0
S.NZONZI,42,2018-2019,ROMA,30,ROMA,FIORENTINA,95',0,0,0,70,2,0,52,0,1,7,1,0,0,0
S.NZONZI,42,2018-2019,ROMA,33,INTER,ROMA,94',0,0,0,36,0,0,21,0,1,5,0,0,0,0
S.NZONZI,42,2018-2019,ROMA,34,ROMA,CAGLIARI,93',0,0,0,47,0,0,41,1,1,1,1,0,0,0
S.NZONZI,42,2018-2019,ROMA,35,GENOA,ROMA,96',0,0,0,90,0,0,71,2,0,2,3,0,0,0
S.NZONZI,42,2018-2019,ROMA,36,ROMA,JUVENTUS,93',0,0,0,54,0,0,47,1,0,7,1,0,0,0
S.NZONZI,42,2018-2019,ROMA,37,SASSUOLO,ROMA,99',0,0,0,53,0,0,44,3,0,2,0,1,0,0
