Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
S.VERDI,9,2018-2019,NAPOLI,3,SAMPDORIA,NAPOLI,47',0,0,0,30,0,0,19,2,1,5,3,0,0,0
S.VERDI,9,2018-2019,NAPOLI,5,TORINO,NAPOLI,56',1,0,2,24,2,0,13,0,0,1,2,0,0,0
S.VERDI,9,2018-2019,NAPOLI,6,NAPOLI,PARMA,16',0,0,0,9,0,1,7,0,0,0,1,0,0,0
S.VERDI,9,2018-2019,NAPOLI,8,NAPOLI,SASSUOLO,69',0,0,0,37,0,0,27,0,0,2,4,0,0,0
S.VERDI,9,2018-2019,NAPOLI,9,UDINESE,NAPOLI,4',0,0,0,1,0,0,0,0,0,0,1,0,0,0
S.VERDI,9,2018-2019,NAPOLI,19,NAPOLI,BOLOGNA,61',0,0,0,50,0,0,31,1,0,0,3,0,0,0
S.VERDI,9,2018-2019,NAPOLI,20,NAPOLI,LAZIO,23',0,0,0,15,0,0,10,0,0,0,0,0,0,0
S.VERDI,9,2018-2019,NAPOLI,21,MILAN,NAPOLI,16',0,0,0,8,0,0,1,2,1,0,1,0,0,0
S.VERDI,9,2018-2019,NAPOLI,22,NAPOLI,SAMPDORIA,10',1,0,1,8,1,0,5,0,0,0,0,0,0,0
S.VERDI,9,2018-2019,NAPOLI,23,FIORENTINA,NAPOLI,19',0,0,0,10,0,0,6,1,0,1,0,0,0,0
S.VERDI,9,2018-2019,NAPOLI,24,NAPOLI,TORINO,26',0,0,1,19,0,0,10,0,0,0,2,0,0,0
S.VERDI,9,2018-2019,NAPOLI,25,PARMA,NAPOLI,19',0,0,1,11,0,1,7,1,0,1,2,0,0,0
S.VERDI,9,2018-2019,NAPOLI,27,SASSUOLO,NAPOLI,66',0,0,0,30,1,0,18,0,0,1,5,0,0,0
S.VERDI,9,2018-2019,NAPOLI,28,NAPOLI,UDINESE,39',0,0,0,28,0,0,20,0,0,0,1,0,0,0
S.VERDI,9,2018-2019,NAPOLI,29,ROMA,NAPOLI,78',1,0,3,50,3,1,32,1,2,1,4,0,0,0
S.VERDI,9,2018-2019,NAPOLI,30,EMPOLI,NAPOLI,19',0,0,0,9,0,0,5,0,1,1,0,0,0,0
S.VERDI,9,2018-2019,NAPOLI,32,CHIEVOVERONA,NAPOLI,10',0,0,0,4,0,0,4,1,0,0,0,0,0,0
S.VERDI,9,2018-2019,NAPOLI,33,NAPOLI,ATALANTA,12',0,0,0,13,0,0,8,1,0,0,1,0,0,0
S.VERDI,9,2018-2019,NAPOLI,34,FROSINONE,NAPOLI,21',0,0,0,12,0,0,9,0,0,1,0,0,0,0
S.VERDI,9,2018-2019,NAPOLI,35,NAPOLI,CAGLIARI,61',0,0,1,41,0,0,27,1,1,0,2,0,0,0
S.VERDI,9,2018-2019,NAPOLI,36,SPAL,NAPOLI,28',0,0,0,20,0,0,13,0,0,0,4,0,0,0
S.VERDI,9,2018-2019,NAPOLI,38,BOLOGNA,NAPOLI,65',0,0,0,37,0,0,19,1,1,1,0,0,0,0
