Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,LB,FYC,SYC,RC
V.HUGO,31,2018-2019,FIORENTINA,1,SAMPDORIA,FIORENTINA,93',0,0,0,48,0,0,38,2,0,5,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,2,FIORENTINA,CHIEVOVERONA,95',0,0,0,76,0,0,60,3,0,1,4,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,3,FIORENTINA,UDINESE,95',0,0,0,81,0,0,65,0,1,4,2,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,4,NAPOLI,FIORENTINA,95',0,0,0,47,0,0,34,0,1,2,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,5,FIORENTINA,SPAL,97',0,0,0,45,0,0,36,1,1,6,1,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,6,INTER,FIORENTINA,98',0,0,0,58,0,0,47,2,2,5,2,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,7,FIORENTINA,ATALANTA,97',0,0,0,39,0,0,24,2,0,2,0,1,0,0
V.HUGO,31,2018-2019,FIORENTINA,8,LAZIO,FIORENTINA,97',0,0,0,67,0,0,54,2,2,2,2,1,0,0
V.HUGO,31,2018-2019,FIORENTINA,9,FIORENTINA,CAGLIARI,101',0,0,0,65,0,0,57,0,2,4,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,10,TORINO,FIORENTINA,97',0,0,0,44,0,0,28,3,0,5,1,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,11,FIORENTINA,ROMA,97',0,0,0,34,0,0,19,0,1,9,4,1,0,0
V.HUGO,31,2018-2019,FIORENTINA,12,FROSINONE,FIORENTINA,94',0,0,0,52,0,0,38,1,0,2,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,13,BOLOGNA,FIORENTINA,94',0,0,0,58,0,0,48,3,1,1,1,1,0,0
V.HUGO,31,2018-2019,FIORENTINA,14,FIORENTINA,JUVENTUS,93',0,0,0,41,0,0,27,1,0,3,4,1,0,0
V.HUGO,31,2018-2019,FIORENTINA,16,FIORENTINA,EMPOLI,97',0,0,0,62,1,0,43,3,0,5,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,17,MILAN,FIORENTINA,94',0,0,0,49,0,0,31,4,1,6,1,1,0,0
V.HUGO,31,2018-2019,FIORENTINA,18,FIORENTINA,PARMA,68',0,0,0,47,0,0,40,1,0,5,2,0,0,1
V.HUGO,31,2018-2019,FIORENTINA,20,FIORENTINA,SAMPDORIA,87',0,0,0,47,0,0,29,2,3,4,0,1,0,0
V.HUGO,31,2018-2019,FIORENTINA,21,CHIEVOVERONA,FIORENTINA,101',0,0,0,38,0,0,20,2,0,4,1,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,23,FIORENTINA,NAPOLI,39',0,0,1,11,0,0,4,0,0,1,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,24,SPAL,FIORENTINA,96',0,0,0,39,0,0,24,0,2,4,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,25,FIORENTINA,INTER,105',0,0,0,41,0,0,28,3,0,8,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,26,ATALANTA,FIORENTINA,28',0,0,0,12,0,0,4,0,0,1,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,27,FIORENTINA,LAZIO,13',0,0,0,10,0,0,8,0,0,0,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,29,FIORENTINA,TORINO,99',0,0,0,40,0,1,26,0,0,3,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,30,ROMA,FIORENTINA,95',0,0,0,68,0,0,57,0,0,3,1,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,35,EMPOLI,FIORENTINA,96',0,0,0,39,0,0,31,0,1,2,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,36,FIORENTINA,MILAN,95',0,0,0,60,0,0,51,2,0,4,0,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,37,PARMA,FIORENTINA,97',0,0,1,89,1,0,75,3,0,0,1,0,0,0
V.HUGO,31,2018-2019,FIORENTINA,38,FIORENTINA,GENOA,96',0,0,0,93,0,0,85,0,0,2,0,0,0,0
