Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
F.CACCIATORE,12,2019-2020,CAGLIARI,3,PARMA,CAGLIARI,104',0,0,0,36,0,0,24,0,0,6,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,4,CAGLIARI,GENOA,95',0,0,0,53,0,0,32,1,1,10,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,5,NAPOLI,CAGLIARI,96',0,0,0,52,0,0,40,0,0,6,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,6,CAGLIARI,HELLAS VERONA,93',0,0,0,55,0,0,33,3,1,18,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,7,ROMA,CAGLIARI,105',0,0,0,41,0,0,28,0,0,3,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,11,ATALANTA,CAGLIARI,94',0,0,0,65,0,0,52,0,0,3,1,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,12,CAGLIARI,FIORENTINA,95',0,0,0,65,1,0,50,0,1,9,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,13,LECCE,CAGLIARI,87',0,0,0,67,0,0,43,2,1,8,0,0,0,1
F.CACCIATORE,12,2019-2020,CAGLIARI,15,SASSUOLO,CAGLIARI,96',0,0,0,38,0,0,31,0,0,4,1,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,16,CAGLIARI,LAZIO,100',0,0,0,54,0,0,34,0,1,5,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,18,JUVENTUS,CAGLIARI,62',0,0,0,49,0,0,40,0,0,0,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,23,GENOA,CAGLIARI,24',0,0,0,8,0,0,6,2,0,1,0,1,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,25,HELLAS VERONA,CAGLIARI,69',0,0,0,53,0,0,36,0,0,0,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,26,CAGLIARI,ROMA,97',0,0,0,65,0,0,49,0,2,2,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,27,SPAL,CAGLIARI,24',0,0,0,17,0,0,12,0,0,1,0,0,0,0
F.CACCIATORE,12,2019-2020,CAGLIARI,28,CAGLIARI,TORINO,9',0,0,0,5,0,0,3,0,1,1,0,0,0,0
