Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
G.PEZZELLA,20,2019-2020,FIORENTINA,1,FIORENTINA,NAPOLI,97',0,0,0,46,1,0,36,1,0,18,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,2,GENOA,FIORENTINA,97',0,0,0,47,0,0,24,2,2,23,1,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,3,FIORENTINA,JUVENTUS,86',0,0,0,37,0,0,29,0,1,7,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,4,ATALANTA,FIORENTINA,99',0,0,0,39,1,0,25,2,1,18,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,5,FIORENTINA,SAMPDORIA,98',1,0,1,65,1,0,55,0,0,10,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,6,MILAN,FIORENTINA,96',0,0,1,43,0,0,36,3,0,20,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,7,FIORENTINA,UDINESE,97',0,0,0,60,1,0,44,2,1,17,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,8,BRESCIA,FIORENTINA,100',0,0,1,59,1,0,44,1,1,12,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,9,FIORENTINA,LAZIO,101',0,0,0,43,0,0,31,1,0,10,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,10,SASSUOLO,FIORENTINA,98',0,0,1,63,0,0,51,1,2,9,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,12,CAGLIARI,FIORENTINA,95',0,0,1,64,1,0,57,0,0,10,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,13,HELLAS VERONA,FIORENTINA,4',0,0,0,2,0,0,1,0,1,0,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,16,FIORENTINA,INTER,99',0,0,0,48,0,0,40,0,0,19,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,17,FIORENTINA,ROMA,98',0,0,0,34,0,0,24,3,0,10,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,18,BOLOGNA,FIORENTINA,97',0,0,0,26,0,0,13,2,0,13,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,19,FIORENTINA,SPAL,95',1,0,1,45,1,0,34,1,0,5,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,20,NAPOLI,FIORENTINA,96',0,0,0,24,0,0,13,0,0,17,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,21,FIORENTINA,GENOA,97',0,0,0,53,0,0,36,3,1,31,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,22,JUVENTUS,FIORENTINA,98',0,0,1,31,0,0,13,1,0,20,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,23,FIORENTINA,ATALANTA,96',0,0,0,28,0,0,10,1,1,14,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,24,SAMPDORIA,FIORENTINA,95',0,0,0,52,0,0,43,4,0,8,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,25,FIORENTINA,MILAN,97',0,0,0,22,0,0,14,0,1,11,1,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,26,UDINESE,FIORENTINA,94',0,0,0,71,0,0,57,0,0,9,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,27,FIORENTINA,BRESCIA,97',1,0,4,50,2,0,34,2,1,12,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,28,LAZIO,FIORENTINA,98',0,0,1,38,0,0,23,0,0,6,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,29,FIORENTINA,SASSUOLO,98',0,0,3,60,2,0,45,1,0,7,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,30,PARMA,FIORENTINA,104',0,0,0,51,0,0,33,3,1,6,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,32,FIORENTINA,HELLAS VERONA,100',0,0,0,48,0,0,31,1,0,11,1,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,33,LECCE,FIORENTINA,47',0,0,0,21,0,0,13,0,1,4,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,34,FIORENTINA,TORINO,99',0,0,0,42,0,0,24,0,0,17,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,35,INTER,FIORENTINA,97',0,0,0,44,0,0,24,1,0,14,0,0,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,36,ROMA,FIORENTINA,100',0,0,1,24,1,0,15,2,1,6,0,1,0,0
G.PEZZELLA,20,2019-2020,FIORENTINA,37,FIORENTINA,BOLOGNA,95',0,0,0,40,0,0,33,0,0,7,0,0,0,0
