Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
I.PUSSETTO,23,2019-2020,UDINESE,1,UDINESE,MILAN,76',0,0,0,29,0,0,17,2,2,3,1,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,2,UDINESE,PARMA,25',0,0,1,13,1,0,9,0,0,2,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,3,INTER,UDINESE,13',0,0,1,3,0,0,1,0,0,2,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,4,UDINESE,BRESCIA,70',0,0,0,34,0,0,13,3,3,14,1,1,0,0
I.PUSSETTO,23,2019-2020,UDINESE,9,ATALANTA,UDINESE,45',0,0,0,18,0,0,6,0,0,4,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,10,UDINESE,ROMA,13',0,0,0,14,0,0,6,0,0,4,1,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,13,SAMPDORIA,UDINESE,16',0,0,1,6,0,0,1,0,0,0,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,15,UDINESE,NAPOLI,20',0,0,0,5,0,0,3,0,0,1,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,16,JUVENTUS,UDINESE,34',1,0,1,22,1,0,9,0,0,3,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,17,UDINESE,CAGLIARI,19',0,0,0,7,0,0,4,1,2,8,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,18,LECCE,UDINESE,22',0,0,0,17,0,0,5,0,2,7,0,0,0,0
I.PUSSETTO,23,2019-2020,UDINESE,19,UDINESE,SASSUOLO,32',0,0,0,11,0,0,7,0,0,0,0,0,0,0
