Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
J.JANKTO,14,2019-2020,SAMPDORIA,1,SAMPDORIA,LAZIO,26',0,0,0,12,0,0,7,1,1,4,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,2,SASSUOLO,SAMPDORIA,56',0,0,1,22,2,0,12,0,0,0,1,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,6,SAMPDORIA,INTER,97',1,0,1,42,0,0,22,0,3,7,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,7,HELLAS VERONA,SAMPDORIA,60',0,0,0,16,0,0,9,1,0,0,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,8,SAMPDORIA,ROMA,98',0,0,0,34,0,0,9,0,0,3,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,9,BOLOGNA,SAMPDORIA,64',0,0,0,27,0,0,13,0,1,4,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,11,SPAL,SAMPDORIA,74',0,0,0,29,0,0,17,2,1,2,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,12,SAMPDORIA,ATALANTA,97',0,0,1,28,2,0,16,0,1,6,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,13,SAMPDORIA,UDINESE,100',0,0,1,49,0,0,31,1,0,4,2,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,14,CAGLIARI,SAMPDORIA,102',0,0,0,32,0,0,18,2,1,11,1,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,15,SAMPDORIA,PARMA,81',0,0,0,47,0,0,29,1,1,2,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,17,SAMPDORIA,JUVENTUS,65',0,0,2,22,0,0,11,1,1,3,0,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,18,MILAN,SAMPDORIA,55',0,0,0,20,0,0,7,0,0,0,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,19,SAMPDORIA,BRESCIA,97',1,0,1,51,3,2,30,1,1,1,1,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,20,LAZIO,SAMPDORIA,45',0,0,0,21,0,0,18,0,0,0,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,22,SAMPDORIA,NAPOLI,79',0,0,0,37,0,0,17,0,0,0,1,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,23,TORINO,SAMPDORIA,27',0,0,0,13,0,0,10,0,0,4,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,24,SAMPDORIA,FIORENTINA,45',0,0,1,22,1,0,15,0,0,2,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,25,INTER,SAMPDORIA,69',0,0,0,21,0,0,12,1,0,1,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,26,SAMPDORIA,HELLAS VERONA,97',0,0,1,42,1,0,28,1,0,1,1,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,27,ROMA,SAMPDORIA,65',0,0,2,30,1,0,14,2,1,1,0,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,29,LECCE,SAMPDORIA,87',0,0,0,37,0,0,22,0,2,2,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,30,SAMPDORIA,SPAL,72',0,0,0,29,0,0,17,1,1,9,1,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,31,ATALANTA,SAMPDORIA,83',0,0,0,21,0,0,7,1,0,4,1,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,33,SAMPDORIA,CAGLIARI,92',0,0,0,52,0,2,40,0,1,0,0,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,34,PARMA,SAMPDORIA,98',0,0,0,36,0,0,22,1,0,1,1,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,35,SAMPDORIA,GENOA,99',0,0,1,44,1,0,18,1,1,2,0,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,36,JUVENTUS,SAMPDORIA,80',0,0,0,27,0,0,14,3,1,2,1,1,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,37,SAMPDORIA,MILAN,100',0,0,0,41,1,0,24,0,0,3,1,0,0,0
J.JANKTO,14,2019-2020,SAMPDORIA,38,BRESCIA,SAMPDORIA,27',0,0,0,13,0,0,10,0,0,0,0,0,0,0
