Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
N.DOMINGUEZ,8,2019-2020,BOLOGNA,19,TORINO,BOLOGNA,13',0,0,0,13,0,0,10,0,0,0,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,20,BOLOGNA,HELLAS VERONA,71',0,0,0,22,0,0,16,2,0,12,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,23,ROMA,BOLOGNA,22',0,0,0,6,0,0,3,1,0,0,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,24,BOLOGNA,GENOA,33',0,0,0,30,0,0,21,0,0,4,0,1,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,25,BOLOGNA,UDINESE,99',0,0,0,68,0,0,48,3,0,4,1,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,27,BOLOGNA,JUVENTUS,23',0,0,0,23,0,0,20,1,0,0,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,28,SAMPDORIA,BOLOGNA,14',0,0,0,6,0,0,4,0,1,0,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,29,BOLOGNA,CAGLIARI,27',0,0,1,23,0,0,20,0,0,1,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,30,INTER,BOLOGNA,90',0,0,0,44,1,1,24,2,1,7,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,31,BOLOGNA,SASSUOLO,34',0,0,0,24,0,0,15,0,0,2,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,32,PARMA,BOLOGNA,81',0,0,0,38,0,0,29,5,2,7,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,33,BOLOGNA,NAPOLI,78',0,0,0,53,0,0,43,0,1,4,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,34,MILAN,BOLOGNA,63',0,0,0,38,0,0,25,0,0,5,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,35,ATALANTA,BOLOGNA,31',0,0,0,16,0,0,10,0,0,2,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,37,FIORENTINA,BOLOGNA,65',0,0,1,40,2,0,30,2,1,8,0,0,0,0
N.DOMINGUEZ,8,2019-2020,BOLOGNA,38,BOLOGNA,TORINO,21',0,0,0,14,0,0,13,0,0,2,0,0,0,0
