Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,AT,BP,SC,AS,P,FC,FS,R,KP,FYC,SYC,RC
S.DE VRIJ,6,2019-2020,INTER,3,INTER,UDINESE,97',0,0,0,61,0,0,60,0,1,9,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,4,MILAN,INTER,98',0,0,0,56,0,0,49,1,1,9,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,5,INTER,LAZIO,97',0,0,0,90,1,0,85,0,0,12,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,6,SAMPDORIA,INTER,97',0,0,0,55,0,0,46,0,1,9,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,7,INTER,JUVENTUS,98',0,0,0,62,0,0,51,1,0,6,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,8,SASSUOLO,INTER,96',0,0,0,61,0,1,47,4,0,16,0,1,0,0
S.DE VRIJ,6,2019-2020,INTER,9,INTER,PARMA,32',0,0,0,16,0,0,14,0,0,3,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,10,BRESCIA,INTER,96',0,0,0,54,0,0,41,2,0,17,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,11,BOLOGNA,INTER,95',0,0,0,38,0,0,30,0,0,11,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,12,INTER,HELLAS VERONA,96',0,0,1,86,0,0,77,0,1,15,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,13,TORINO,INTER,95',1,0,1,31,1,0,17,0,0,14,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,14,INTER,SPAL,96',0,0,0,63,0,0,55,0,2,5,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,15,INTER,ROMA,95',0,0,0,83,0,0,67,0,0,10,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,16,FIORENTINA,INTER,99',0,0,0,56,0,0,44,1,1,7,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,17,INTER,GENOA,90',0,0,0,54,0,0,44,0,1,13,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,18,NAPOLI,INTER,96',0,0,0,44,0,0,31,0,0,16,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,19,INTER,ATALANTA,95',0,0,0,25,0,0,21,3,0,7,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,20,LECCE,INTER,98',0,0,1,79,1,0,70,0,1,27,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,21,INTER,CAGLIARI,98',0,0,0,49,0,0,38,2,1,34,0,1,0,0
S.DE VRIJ,6,2019-2020,INTER,22,UDINESE,INTER,95',0,0,0,86,0,0,84,1,0,22,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,23,INTER,MILAN,97',1,0,1,33,1,0,23,0,0,16,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,24,LAZIO,INTER,97',0,0,0,50,0,0,40,2,0,7,0,1,0,0
S.DE VRIJ,6,2019-2020,INTER,25,INTER,SAMPDORIA,94',0,0,0,92,0,0,79,2,0,8,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,26,JUVENTUS,INTER,94',0,0,0,58,0,0,54,1,0,3,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,27,INTER,SASSUOLO,40',0,0,0,15,0,0,9,0,0,9,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,28,PARMA,INTER,98',1,0,1,61,1,0,50,3,1,7,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,29,INTER,BRESCIA,48',0,0,0,39,0,0,34,1,0,8,0,1,0,0
S.DE VRIJ,6,2019-2020,INTER,30,INTER,BOLOGNA,98',0,0,0,62,0,0,51,2,0,12,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,31,HELLAS VERONA,INTER,98',0,0,0,37,0,0,30,2,0,3,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,32,INTER,TORINO,93',0,0,0,64,0,0,55,0,1,4,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,34,ROMA,INTER,97',1,0,1,68,1,0,59,1,0,9,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,35,INTER,FIORENTINA,23',0,0,0,20,0,0,17,0,0,1,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,37,INTER,NAPOLI,101',0,0,0,59,0,0,50,2,0,6,0,0,0,0
S.DE VRIJ,6,2019-2020,INTER,38,ATALANTA,INTER,99',0,0,0,30,0,0,20,1,0,7,0,1,0,0
