Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.EKDAL,6,2020-2021,SAMPDORIA,1,JUVENTUS,SAMPDORIA,92',0,0,1,0,1,0,2,51,0,0,32,80,15,3,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,2,SAMPDORIA,BENEVENTO,95',0,0,0,0,0,0,4,46,0,0,26,74,23,4,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,3,FIORENTINA,SAMPDORIA,85',0,0,0,0,0,0,1,32,0,0,17,74,10,3,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,4,SAMPDORIA,LAZIO,57',0,0,2,0,0,0,0,40,0,0,28,85,14,0,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,5,ATALANTA,SAMPDORIA,96',0,0,0,0,0,0,2,53,0,0,37,90,14,6,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,6,SAMPDORIA,GENOA,66',0,0,0,0,0,0,1,45,0,0,26,68,10,4,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,7,CAGLIARI,SAMPDORIA,80',0,0,0,0,0,0,0,45,0,0,27,84,15,6,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,8,SAMPDORIA,BOLOGNA,96',0,0,0,0,0,0,1,49,0,0,30,94,22,7,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,9,TORINO,SAMPDORIA,46',0,0,1,0,1,0,2,24,0,0,16,94,6,2,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,10,SAMPDORIA,MILAN,49',1,0,2,1,0,2,2,32,0,0,18,82,13,4,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,11,NAPOLI,SAMPDORIA,96',0,0,0,0,0,0,1,48,0,0,32,89,11,7,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,12,HELLAS VERONA,SAMPDORIA,98',1,0,1,1,0,1,2,61,0,0,38,88,22,5,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,13,SAMPDORIA,CROTONE,97',0,0,0,0,0,0,2,71,1,0,42,84,26,6,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,14,SAMPDORIA,SASSUOLO,97',0,0,2,1,0,1,1,54,0,0,26,67,11,6,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,15,ROMA,SAMPDORIA,93',0,0,0,0,0,0,2,51,0,0,27,75,10,6,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,17,SPEZIA,SAMPDORIA,99',0,0,0,0,0,0,3,59,0,0,27,79,15,11,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,18,SAMPDORIA,UDINESE,85',0,0,1,0,1,0,1,54,0,0,33,87,18,6,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,19,PARMA,SAMPDORIA,11',0,0,0,0,0,0,2,11,0,0,8,100,2,2,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,20,SAMPDORIA,JUVENTUS,97',0,0,0,0,0,0,0,46,0,0,33,97,16,8,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,21,BENEVENTO,SAMPDORIA,18',0,0,0,0,0,0,0,10,0,0,6,67,3,1,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,22,SAMPDORIA,FIORENTINA,20',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,23,LAZIO,SAMPDORIA,96',0,0,0,0,0,0,1,47,0,0,25,81,16,7,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,24,SAMPDORIA,ATALANTA,93',0,0,0,0,0,0,7,65,0,0,37,77,17,8,1,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,25,GENOA,SAMPDORIA,93',0,0,0,0,0,0,2,61,0,0,44,88,23,3,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,26,SAMPDORIA,CAGLIARI,64',0,0,0,0,0,0,0,36,0,0,24,86,9,6,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,27,BOLOGNA,SAMPDORIA,94',0,0,0,0,0,0,3,66,0,0,45,87,32,5,0,0,0
A.EKDAL,6,2020-2021,SAMPDORIA,28,SAMPDORIA,TORINO,96',0,0,1,0,0,1,4,43,0,0,13,59,9,7,0,0,0
