Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.GOMEZ,10,2020-2021,ATALANTA,1,LAZIO,ATALANTA,83',2,0,4,2,2,2,3,54,0,1,28,80,21,1,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,2,TORINO,ATALANTA,85',1,0,4,2,1,1,1,65,2,1,38,88,30,1,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,3,ATALANTA,CAGLIARI,66',1,0,1,1,0,1,3,52,0,1,36,88,22,0,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,4,NAPOLI,ATALANTA,56',0,0,3,1,0,1,1,47,0,0,29,81,14,0,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,5,ATALANTA,SAMPDORIA,96',0,0,7,2,2,1,4,97,0,1,59,88,45,1,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,6,CROTONE,ATALANTA,46',0,0,1,1,0,1,1,43,0,1,25,86,19,1,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,7,ATALANTA,INTER,94',0,0,1,0,1,0,2,72,0,0,54,89,41,0,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,8,SPEZIA,ATALANTA,47',0,0,1,0,0,0,1,26,0,0,17,85,11,0,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,9,ATALANTA,HELLAS VERONA,79',0,0,2,1,0,1,1,58,0,1,35,83,29,1,0,0,0
A.GOMEZ,10,2020-2021,ATALANTA,12,JUVENTUS,ATALANTA,41',0,0,1,1,0,0,1,37,0,1,20,83,17,0,0,0,0
