Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.MORATA,9,2020-2021,JUVENTUS,2,ROMA,JUVENTUS,60',0,0,1,0,0,0,2,25,0,0,10,91,8,2,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,4,CROTONE,JUVENTUS,97',1,0,3,2,0,2,2,52,0,1,19,68,16,7,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,5,JUVENTUS,HELLAS VERONA,99',0,0,4,2,0,1,1,52,0,0,27,71,22,3,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,6,SPEZIA,JUVENTUS,79',1,0,2,1,0,1,3,35,1,2,18,78,13,2,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,7,LAZIO,JUVENTUS,90',0,0,0,0,0,1,3,45,0,1,22,81,16,0,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,8,JUVENTUS,CAGLIARI,70',0,0,2,0,0,1,1,39,1,0,17,68,10,3,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,9,BENEVENTO,JUVENTUS,100',1,0,4,1,0,2,3,47,0,0,22,79,18,2,0,0,1
A.MORATA,9,2020-2021,JUVENTUS,11,GENOA,JUVENTUS,26',0,0,0,0,0,0,2,15,0,0,7,78,5,0,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,12,JUVENTUS,ATALANTA,87',0,0,3,2,0,3,5,61,0,1,19,70,12,3,1,0,0
A.MORATA,9,2020-2021,JUVENTUS,13,PARMA,JUVENTUS,92',1,0,2,1,1,1,4,43,2,0,23,92,20,2,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,14,JUVENTUS,FIORENTINA,47',0,0,0,0,0,1,0,16,0,0,5,63,1,4,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,17,JUVENTUS,SASSUOLO,7',0,0,0,0,0,0,0,5,0,0,2,67,2,0,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,18,INTER,JUVENTUS,97',0,0,1,0,0,0,1,26,0,1,10,59,6,5,1,0,0
A.MORATA,9,2020-2021,JUVENTUS,19,JUVENTUS,BOLOGNA,25',0,0,1,1,0,0,2,14,0,0,9,82,7,1,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,20,SAMPDORIA,JUVENTUS,80',0,0,0,0,0,0,0,41,1,0,31,97,21,4,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,21,JUVENTUS,ROMA,66',0,0,0,0,0,0,1,28,1,2,13,72,6,5,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,22,NAPOLI,JUVENTUS,99',0,0,3,1,1,1,0,31,0,0,16,73,12,1,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,23,JUVENTUS,CROTONE,17',0,0,1,0,0,0,1,7,0,0,0,0,0,1,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,25,JUVENTUS,SPEZIA,35',1,0,1,1,0,1,0,14,0,1,4,50,4,3,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,26,JUVENTUS,LAZIO,69',2,0,3,2,0,3,0,27,1,0,12,71,10,0,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,27,CAGLIARI,JUVENTUS,74',0,0,1,1,0,1,1,23,0,0,10,91,5,4,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,28,JUVENTUS,BENEVENTO,96',0,0,2,1,0,2,2,36,0,0,11,58,8,5,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,29,TORINO,JUVENTUS,95',0,0,2,2,0,2,1,41,1,0,17,77,9,2,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,3,JUVENTUS,NAPOLI,70',0,0,2,0,2,0,2,34,0,2,22,88,11,1,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,30,JUVENTUS,GENOA,68',1,0,2,1,0,1,1,36,0,1,23,88,13,3,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,31,ATALANTA,JUVENTUS,94',0,0,1,1,0,2,2,50,0,0,24,92,16,2,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,32,JUVENTUS,PARMA,10',0,0,0,0,0,0,0,4,0,0,2,67,1,0,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,33,FIORENTINA,JUVENTUS,48',1,0,1,1,0,1,1,16,0,0,7,78,4,0,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,34,UDINESE,JUVENTUS,30',0,0,0,0,0,0,0,5,0,0,2,50,2,1,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,35,JUVENTUS,MILAN,97',0,0,0,0,0,0,2,34,0,2,12,63,8,2,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,37,JUVENTUS,INTER,24',0,0,1,1,0,0,0,6,0,0,4,80,2,0,0,0,0
A.MORATA,9,2020-2021,JUVENTUS,38,BOLOGNA,JUVENTUS,92',2,0,4,3,0,4,1,45,0,0,18,75,15,4,1,0,0
