Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.PEREIRA,7,2020-2021,LAZIO,5,LAZIO,BOLOGNA,15',0,0,0,0,0,0,0,8,0,0,3,60,2,1,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,6,TORINO,LAZIO,46',1,0,2,1,0,1,0,28,0,0,18,82,12,0,1,0,0
A.PEREIRA,7,2020-2021,LAZIO,7,LAZIO,JUVENTUS,18',0,0,0,0,0,0,0,22,0,0,11,92,9,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,8,CROTONE,LAZIO,18',0,0,0,0,0,0,0,17,0,0,6,50,3,1,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,9,LAZIO,UDINESE,18',0,0,0,0,0,0,0,9,0,0,4,57,3,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,10,SPEZIA,LAZIO,94',0,0,0,0,0,0,2,31,0,0,13,87,7,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,11,LAZIO,HELLAS VERONA,15',0,0,1,1,0,1,0,14,0,1,4,50,4,1,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,12,BENEVENTO,LAZIO,14',0,0,1,0,0,0,0,17,0,1,11,100,10,1,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,13,LAZIO,NAPOLI,15',0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,14,MILAN,LAZIO,21',0,0,0,0,0,0,1,6,0,0,3,100,2,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,15,GENOA,LAZIO,12',0,0,0,0,0,0,0,10,0,0,5,100,5,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,17,PARMA,LAZIO,22',0,0,1,0,0,0,0,14,0,0,9,90,10,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,20,ATALANTA,LAZIO,13',0,0,1,1,0,0,0,9,1,0,2,50,1,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,22,INTER,LAZIO,16',0,0,1,1,0,0,0,15,0,0,8,67,7,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,24,BOLOGNA,LAZIO,30',0,0,1,0,1,1,1,22,0,0,9,82,10,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,26,JUVENTUS,LAZIO,11',0,0,0,0,0,0,0,12,0,0,8,89,10,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,27,LAZIO,CROTONE,11',0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,28,UDINESE,LAZIO,21',0,0,0,0,0,0,1,11,0,0,3,100,2,2,1,0,0
A.PEREIRA,7,2020-2021,LAZIO,29,LAZIO,SPEZIA,53',0,0,0,0,0,0,0,27,0,0,16,80,4,0,1,0,0
A.PEREIRA,7,2020-2021,LAZIO,30,HELLAS VERONA,LAZIO,19',0,0,0,0,0,0,0,14,0,0,5,83,4,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,33,LAZIO,MILAN,17',0,0,0,0,0,0,0,5,0,0,4,100,3,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,34,LAZIO,GENOA,11',0,0,0,0,0,0,0,11,0,0,3,75,2,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,35,FIORENTINA,LAZIO,32',0,0,0,0,0,0,1,20,0,0,10,83,6,1,0,1,0
A.PEREIRA,7,2020-2021,LAZIO,37,ROMA,LAZIO,34',0,0,1,0,0,0,1,17,0,0,5,63,4,0,0,0,0
A.PEREIRA,7,2020-2021,LAZIO,25,LAZIO,TORINO,21',0,0,2,1,1,0,0,16,0,0,5,71,4,0,1,0,0
