Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.RAMSEY,8,2020-2021,JUVENTUS,1,JUVENTUS,SAMPDORIA,92',0,0,0,0,0,0,2,91,1,4,58,83,41,9,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,2,ROMA,JUVENTUS,70',0,0,1,0,0,1,2,55,0,0,35,85,22,3,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,5,JUVENTUS,HELLAS VERONA,93',0,0,0,0,0,0,1,70,0,0,46,84,25,2,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,6,SPEZIA,JUVENTUS,31',0,0,0,0,0,0,0,15,0,0,10,83,1,0,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,9,BENEVENTO,JUVENTUS,66',0,0,1,1,0,1,1,53,0,1,36,86,24,1,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,10,JUVENTUS,TORINO,40',0,0,0,0,0,0,1,24,0,0,17,94,15,1,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,13,PARMA,JUVENTUS,68',0,0,0,0,0,0,0,77,1,0,56,89,36,3,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,14,JUVENTUS,FIORENTINA,20',0,0,0,0,0,0,0,9,0,0,6,75,4,1,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,15,JUVENTUS,UDINESE,76',0,0,3,3,0,3,1,63,1,0,45,94,28,5,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,16,MILAN,JUVENTUS,74',0,0,2,1,0,0,1,69,0,0,49,82,25,2,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,17,JUVENTUS,SASSUOLO,72',1,0,3,2,0,3,1,66,0,1,44,90,28,1,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,18,INTER,JUVENTUS,60',0,0,0,0,0,0,0,31,0,0,25,96,19,1,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,19,JUVENTUS,BOLOGNA,16',0,0,0,0,0,0,1,14,0,0,8,80,4,0,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,20,SAMPDORIA,JUVENTUS,12',1,0,1,1,0,1,0,10,0,0,6,86,4,0,0,0,0
A.RAMSEY,8,2020-2021,JUVENTUS,23,JUVENTUS,CROTONE,80',0,0,5,2,1,2,1,65,1,1,46,92,26,6,1,0,0
