Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.ROMAGNOLI,13,2020-2021,MILAN,4,INTER,MILAN,98',0,0,0,0,0,0,0,40,0,0,21,84,2,13,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,5,MILAN,ROMA,96',0,0,2,1,0,1,0,74,0,0,64,91,14,6,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,6,UDINESE,MILAN,94',0,0,0,0,0,0,2,79,0,0,64,96,27,11,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,8,NAPOLI,MILAN,100',0,0,0,0,0,0,0,53,0,0,32,82,5,9,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,9,MILAN,FIORENTINA,96',1,0,2,1,0,1,0,50,0,0,32,82,11,10,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,10,SAMPDORIA,MILAN,97',0,0,0,0,0,0,1,88,0,0,75,95,25,9,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,11,MILAN,PARMA,97',0,0,0,0,0,0,0,61,0,0,55,96,22,2,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,12,GENOA,MILAN,94',0,0,2,0,0,1,1,71,1,0,52,85,14,8,1,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,13,SASSUOLO,MILAN,100',0,0,0,0,0,0,1,30,0,0,16,84,3,6,1,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,14,MILAN,LAZIO,98',0,0,0,0,0,0,0,47,0,0,28,85,6,11,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,15,BENEVENTO,MILAN,97',0,0,1,0,0,1,1,43,0,0,23,96,7,13,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,16,MILAN,JUVENTUS,95',0,0,1,0,0,0,0,39,0,0,28,93,5,8,1,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,17,MILAN,TORINO,99',0,0,0,0,0,0,0,42,0,0,32,94,10,5,1,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,18,CAGLIARI,MILAN,94',0,0,0,0,0,0,0,80,0,0,66,97,17,6,1,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,20,BOLOGNA,MILAN,95',0,0,1,1,0,0,0,53,0,0,35,81,11,5,0,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,21,MILAN,CROTONE,90',0,0,0,0,0,0,1,42,0,0,28,88,3,4,1,0,0
A.ROMAGNOLI,13,2020-2021,MILAN,22,SPEZIA,MILAN,93',0,0,1,0,0,1,0,74,0,0,50,85,6,13,0,0,0
