Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
A.SANABRIA,19,2020-2021,TORINO,26,CROTONE,TORINO,30',1,0,3,1,0,1,0,11,0,0,6,75,4,1,0,0,0
A.SANABRIA,19,2020-2021,TORINO,27,TORINO,INTER,90',1,0,1,1,0,1,2,39,0,0,18,82,11,5,0,0,0
A.SANABRIA,19,2020-2021,TORINO,24,TORINO,SASSUOLO,98',0,0,3,1,1,1,0,47,1,0,30,88,23,3,1,0,0
A.SANABRIA,19,2020-2021,TORINO,28,SAMPDORIA,TORINO,59',0,0,0,0,0,0,0,18,0,0,13,93,9,0,0,0,0
A.SANABRIA,19,2020-2021,TORINO,29,TORINO,JUVENTUS,95',2,0,3,3,0,3,1,30,0,0,7,70,5,3,1,0,0
A.SANABRIA,19,2020-2021,TORINO,30,UDINESE,TORINO,64',0,0,1,0,0,1,1,21,0,0,8,73,7,2,0,0,0
A.SANABRIA,19,2020-2021,TORINO,31,TORINO,ROMA,72',1,0,3,1,1,2,1,27,0,1,14,82,11,2,0,0,0
A.SANABRIA,19,2020-2021,TORINO,32,BOLOGNA,TORINO,26',0,0,0,0,0,0,1,7,0,0,2,50,2,0,0,0,0
A.SANABRIA,19,2020-2021,TORINO,33,TORINO,NAPOLI,96',0,0,0,0,0,0,0,34,0,0,18,78,8,4,0,0,0
A.SANABRIA,19,2020-2021,TORINO,34,TORINO,PARMA,95',0,0,2,1,0,2,4,41,0,0,20,71,17,7,0,0,0
A.SANABRIA,19,2020-2021,TORINO,35,HELLAS VERONA,TORINO,80',0,0,0,0,0,0,0,33,0,0,13,72,10,5,0,0,0
A.SANABRIA,19,2020-2021,TORINO,37,SPEZIA,TORINO,65',0,0,0,0,0,0,2,37,0,0,16,62,6,5,0,0,0
A.SANABRIA,19,2020-2021,TORINO,38,TORINO,BENEVENTO,70',0,0,1,0,1,0,0,19,0,1,10,63,9,1,0,0,0
A.SANABRIA,19,2020-2021,TORINO,25,LAZIO,TORINO,88',0,0,4,4,0,3,0,38,0,0,16,67,9,7,0,0,0
