Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
C.TERZI,19,2020-2021,SPEZIA,1,UDINESE,SPEZIA,68',0,0,0,0,0,0,0,76,0,0,61,90,19,6,0,1,0
C.TERZI,19,2020-2021,SPEZIA,4,SPEZIA,FIORENTINA,96',0,0,0,0,0,0,0,63,1,0,45,82,15,6,0,0,0
C.TERZI,19,2020-2021,SPEZIA,5,PARMA,SPEZIA,94',0,0,0,0,0,0,0,74,0,0,59,94,13,12,0,0,0
C.TERZI,19,2020-2021,SPEZIA,6,SPEZIA,JUVENTUS,90',0,0,1,0,0,0,0,51,0,0,39,81,15,3,0,0,0
C.TERZI,19,2020-2021,SPEZIA,7,BENEVENTO,SPEZIA,92',0,0,0,0,0,0,2,87,0,0,64,86,20,11,0,0,0
C.TERZI,19,2020-2021,SPEZIA,8,SPEZIA,ATALANTA,77',0,0,0,0,0,0,1,53,0,0,34,87,8,9,1,0,0
C.TERZI,19,2020-2021,SPEZIA,9,CAGLIARI,SPEZIA,64',0,0,0,0,0,0,0,64,0,0,50,89,16,6,1,0,0
C.TERZI,19,2020-2021,SPEZIA,10,SPEZIA,LAZIO,94',0,0,0,0,0,0,1,115,0,0,95,89,38,6,1,0,0
C.TERZI,19,2020-2021,SPEZIA,11,CROTONE,SPEZIA,97',0,0,1,0,0,0,1,63,0,0,34,76,15,10,0,0,0
C.TERZI,19,2020-2021,SPEZIA,13,INTER,SPEZIA,97',0,0,0,0,0,0,3,90,0,0,69,87,29,7,1,0,0
C.TERZI,19,2020-2021,SPEZIA,14,SPEZIA,GENOA,51',0,0,0,0,0,0,3,47,0,0,36,84,11,2,1,0,0
