Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
D.GODIN,2,2020-2021,CAGLIARI,3,ATALANTA,CAGLIARI,86',1,0,1,1,0,1,1,68,0,0,43,80,6,12,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,4,TORINO,CAGLIARI,96',0,0,0,0,0,0,1,51,0,0,42,93,13,5,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,5,CAGLIARI,CROTONE,95',0,0,0,0,0,0,0,59,0,0,38,75,8,6,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,6,BOLOGNA,CAGLIARI,97',0,0,0,0,0,0,0,69,0,0,44,79,10,5,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,7,CAGLIARI,SAMPDORIA,98',0,0,0,0,0,0,2,106,0,0,81,86,11,9,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,13,CAGLIARI,UDINESE,94',0,0,0,0,0,0,0,83,0,0,62,90,16,8,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,14,ROMA,CAGLIARI,87',0,0,0,0,0,0,1,46,0,0,31,86,10,6,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,17,FIORENTINA,CAGLIARI,97',0,0,1,0,0,1,0,85,0,0,56,90,12,17,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,18,CAGLIARI,MILAN,94',0,0,0,0,0,1,1,70,0,0,49,88,18,7,1,0,0
D.GODIN,2,2020-2021,CAGLIARI,19,GENOA,CAGLIARI,94',0,0,0,0,0,0,0,93,0,0,71,91,34,11,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,20,CAGLIARI,SASSUOLO,95',0,0,1,1,0,0,0,55,0,0,27,71,7,9,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,21,LAZIO,CAGLIARI,95',0,0,1,0,0,0,1,49,0,0,26,90,12,17,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,22,CAGLIARI,ATALANTA,97',0,0,0,0,0,0,0,66,0,0,37,76,13,13,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,23,CAGLIARI,TORINO,95',0,0,1,0,0,0,1,63,0,0,40,75,14,15,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,24,CROTONE,CAGLIARI,97',0,0,0,0,0,0,2,59,0,0,32,82,9,11,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,25,CAGLIARI,BOLOGNA,97',0,0,1,1,0,0,4,40,0,0,17,63,13,10,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,26,SAMPDORIA,CAGLIARI,97',0,0,0,0,0,0,3,83,0,0,49,80,16,13,1,0,0
D.GODIN,2,2020-2021,CAGLIARI,27,CAGLIARI,JUVENTUS,98',0,0,0,0,0,0,2,68,0,0,52,90,26,4,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,28,SPEZIA,CAGLIARI,97',0,0,0,0,0,0,1,71,0,0,42,74,13,11,0,0,0
D.GODIN,2,2020-2021,CAGLIARI,29,CAGLIARI,HELLAS VERONA,100',0,0,0,0,0,0,3,55,0,0,30,71,17,11,0,0,0
