Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
D.LAZOVIC,8,2020-2021,HELLAS VERONA,3,PARMA,HELLAS VERONA,50',0,0,0,0,0,0,0,35,0,0,18,95,11,1,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,4,HELLAS VERONA,GENOA,95',0,0,1,1,0,0,0,65,0,0,27,73,20,3,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,5,JUVENTUS,HELLAS VERONA,99',0,0,0,0,0,0,0,58,0,1,26,76,18,1,1,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,6,HELLAS VERONA,BENEVENTO,95',1,0,3,1,2,1,0,51,0,0,21,70,8,3,1,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,7,MILAN,HELLAS VERONA,96',0,0,0,0,0,0,0,35,0,0,15,56,9,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,10,HELLAS VERONA,CAGLIARI,54',0,0,0,0,0,0,0,33,0,0,20,95,11,0,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,11,LAZIO,HELLAS VERONA,9',0,0,0,0,0,0,0,5,0,0,4,100,3,0,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,12,HELLAS VERONA,SAMPDORIA,63',0,0,0,0,0,0,0,53,0,0,22,67,14,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,13,FIORENTINA,HELLAS VERONA,74',0,0,1,1,0,1,0,32,0,0,10,56,3,7,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,14,HELLAS VERONA,INTER,40',0,0,0,0,0,0,0,19,0,0,9,75,5,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,15,SPEZIA,HELLAS VERONA,94',0,0,1,0,0,1,1,71,0,0,32,76,22,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,18,BOLOGNA,HELLAS VERONA,95',0,0,1,0,0,1,0,66,0,1,43,83,27,1,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,19,HELLAS VERONA,NAPOLI,96',0,0,2,1,0,1,0,79,1,0,35,74,21,3,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,20,ROMA,HELLAS VERONA,96',0,0,0,0,0,0,0,51,0,0,34,87,22,1,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,21,UDINESE,HELLAS VERONA,96',0,0,0,0,0,0,0,53,0,0,32,89,19,4,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,22,HELLAS VERONA,PARMA,98',0,0,0,0,0,0,0,42,0,0,10,59,7,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,23,GENOA,HELLAS VERONA,99',0,0,0,0,0,0,0,72,0,0,37,82,24,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,24,HELLAS VERONA,JUVENTUS,41',0,0,2,1,0,1,0,41,1,0,18,67,16,3,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,25,BENEVENTO,HELLAS VERONA,92',0,0,0,0,0,0,0,57,1,1,35,88,30,3,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,26,HELLAS VERONA,MILAN,95',0,0,0,0,0,0,0,53,0,0,24,63,9,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,27,SASSUOLO,HELLAS VERONA,95',1,0,2,1,1,1,1,47,1,1,22,79,13,4,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,28,HELLAS VERONA,ATALANTA,48',0,0,1,1,0,1,1,44,0,0,14,61,10,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,29,CAGLIARI,HELLAS VERONA,100',0,0,1,1,0,0,0,62,0,0,27,71,21,4,1,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,30,HELLAS VERONA,LAZIO,95',0,0,1,0,0,1,0,62,0,0,25,78,13,6,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,31,SAMPDORIA,HELLAS VERONA,94',1,0,3,2,1,1,0,50,0,0,23,66,13,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,32,HELLAS VERONA,FIORENTINA,81',0,0,1,1,0,1,0,53,0,1,25,69,15,5,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,33,INTER,HELLAS VERONA,93',0,0,3,0,1,0,0,75,0,0,47,80,32,1,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,34,HELLAS VERONA,SPEZIA,95',0,0,0,0,0,0,0,43,1,1,23,85,13,5,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,35,HELLAS VERONA,TORINO,97',0,0,2,0,0,1,0,63,0,1,33,85,24,0,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,36,CROTONE,HELLAS VERONA,95',0,0,1,0,0,0,0,60,0,1,37,95,28,0,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,37,HELLAS VERONA,BOLOGNA,94',0,0,0,0,0,0,0,47,1,1,22,79,14,2,0,0,0
D.LAZOVIC,8,2020-2021,HELLAS VERONA,38,NAPOLI,HELLAS VERONA,96',0,0,0,0,0,0,0,64,0,0,27,79,18,7,0,0,0
