Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
E.GYASI,11,2020-2021,SPEZIA,1,UDINESE,SPEZIA,69',0,0,0,0,0,0,2,26,1,0,15,94,10,0,0,0,0
E.GYASI,11,2020-2021,SPEZIA,2,SPEZIA,SASSUOLO,101',0,0,2,1,0,1,1,45,0,0,27,96,15,4,0,0,0
E.GYASI,11,2020-2021,SPEZIA,3,MILAN,SPEZIA,81',0,0,0,0,0,0,0,44,0,0,24,86,17,2,1,0,0
E.GYASI,11,2020-2021,SPEZIA,4,SPEZIA,FIORENTINA,96',0,0,0,0,0,0,1,30,0,1,15,79,12,0,0,0,0
E.GYASI,11,2020-2021,SPEZIA,5,PARMA,SPEZIA,94',0,0,2,2,0,3,2,27,0,0,15,83,11,0,0,0,0
E.GYASI,11,2020-2021,SPEZIA,6,SPEZIA,JUVENTUS,20',0,0,0,0,0,0,0,13,0,0,12,100,7,0,0,0,0
E.GYASI,11,2020-2021,SPEZIA,7,BENEVENTO,SPEZIA,92',0,0,3,2,0,0,2,62,1,0,37,86,20,3,0,0,0
E.GYASI,11,2020-2021,SPEZIA,8,SPEZIA,ATALANTA,97',0,0,2,1,0,0,5,48,0,0,28,90,15,1,0,0,0
E.GYASI,11,2020-2021,SPEZIA,9,CAGLIARI,SPEZIA,81',1,0,1,1,0,1,1,47,0,0,27,79,20,1,0,0,0
E.GYASI,11,2020-2021,SPEZIA,10,SPEZIA,LAZIO,94',0,0,1,0,0,1,0,39,0,0,27,82,22,0,0,0,0
E.GYASI,11,2020-2021,SPEZIA,11,CROTONE,SPEZIA,39',0,0,0,0,0,0,2,21,0,0,15,94,11,0,0,0,0
