Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
F.BARBA,93,2020-2021,BENEVENTO,1,BENEVENTO,INTER,37',0,0,0,0,0,0,0,27,0,0,13,87,6,8,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,7,BENEVENTO,SPEZIA,15',0,0,0,0,0,0,0,10,0,0,6,75,3,1,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,8,FIORENTINA,BENEVENTO,98',0,0,1,0,0,0,1,67,0,0,31,76,11,9,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,9,BENEVENTO,JUVENTUS,100',0,0,1,1,0,0,0,52,0,0,24,69,4,8,1,0,0
F.BARBA,93,2020-2021,BENEVENTO,10,PARMA,BENEVENTO,94',0,0,0,0,0,0,0,55,0,0,33,89,14,5,1,0,0
F.BARBA,93,2020-2021,BENEVENTO,11,SASSUOLO,BENEVENTO,76',0,0,2,0,0,0,1,60,0,0,34,89,14,7,1,0,0
F.BARBA,93,2020-2021,BENEVENTO,12,BENEVENTO,LAZIO,94',0,0,0,0,0,0,1,62,0,0,36,69,7,1,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,13,BENEVENTO,GENOA,95',0,0,0,0,0,0,0,59,0,0,33,83,13,3,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,14,UDINESE,BENEVENTO,97',0,0,0,0,0,0,0,46,0,0,16,70,4,4,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,15,BENEVENTO,MILAN,97',0,0,1,0,0,1,0,88,0,0,51,80,19,6,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,16,CAGLIARI,BENEVENTO,99',0,0,0,0,0,0,0,53,0,0,26,74,9,2,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,17,BENEVENTO,ATALANTA,93',0,0,0,0,0,0,0,48,0,0,31,78,1,6,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,18,CROTONE,BENEVENTO,96',0,0,0,0,0,0,0,83,0,0,47,80,20,3,1,0,0
F.BARBA,93,2020-2021,BENEVENTO,19,BENEVENTO,TORINO,99',0,0,0,0,0,0,0,60,0,0,31,76,10,7,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,20,INTER,BENEVENTO,90',0,0,0,0,0,0,0,79,0,0,66,92,10,6,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,21,BENEVENTO,SAMPDORIA,96',0,0,0,0,0,0,1,59,1,0,26,72,11,7,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,22,BOLOGNA,BENEVENTO,77',0,0,0,0,0,0,0,55,0,0,17,63,6,6,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,23,BENEVENTO,ROMA,98',0,0,1,1,0,0,0,36,0,0,13,72,1,13,0,0,0
F.BARBA,93,2020-2021,BENEVENTO,24,NAPOLI,BENEVENTO,94',0,0,0,0,0,0,1,68,0,0,50,91,8,9,1,0,0
F.BARBA,93,2020-2021,BENEVENTO,26,SPEZIA,BENEVENTO,96',0,0,0,0,0,0,0,35,0,0,17,85,3,7,1,0,0
