Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
G.MANCINI,23,2020-2021,ROMA,1,HELLAS VERONA,ROMA,96',0,0,0,0,0,0,2,55,0,0,29,74,10,11,0,0,0
G.MANCINI,23,2020-2021,ROMA,2,ROMA,JUVENTUS,95',0,0,0,0,0,0,0,45,0,0,34,89,17,4,0,0,0
G.MANCINI,23,2020-2021,ROMA,3,UDINESE,ROMA,95',0,0,1,0,0,0,0,68,0,1,49,88,25,11,0,0,0
G.MANCINI,23,2020-2021,ROMA,4,ROMA,BENEVENTO,97',0,0,0,0,0,0,0,60,0,0,48,92,13,8,0,0,0
G.MANCINI,23,2020-2021,ROMA,5,MILAN,ROMA,96',0,0,1,0,0,0,2,36,0,0,24,86,5,7,0,0,0
G.MANCINI,23,2020-2021,ROMA,6,ROMA,FIORENTINA,94',0,0,0,0,0,0,4,59,0,0,36,82,15,4,0,0,0
G.MANCINI,23,2020-2021,ROMA,7,GENOA,ROMA,96',0,0,0,0,0,0,0,78,0,1,58,92,21,10,0,0,0
G.MANCINI,23,2020-2021,ROMA,8,ROMA,PARMA,93',0,0,0,0,0,0,1,79,0,0,62,91,32,7,0,0,0
G.MANCINI,23,2020-2021,ROMA,9,NAPOLI,ROMA,38',0,0,0,0,0,0,0,24,0,0,21,95,8,1,0,0,0
G.MANCINI,23,2020-2021,ROMA,12,ROMA,TORINO,47',0,0,2,2,0,2,0,48,0,0,41,93,19,1,1,0,0
G.MANCINI,23,2020-2021,ROMA,13,ATALANTA,ROMA,93',0,0,0,0,0,0,0,78,0,0,52,81,14,8,1,0,0
G.MANCINI,23,2020-2021,ROMA,14,ROMA,CAGLIARI,96',1,0,1,1,0,1,2,83,0,0,59,86,18,8,1,0,0
G.MANCINI,23,2020-2021,ROMA,15,ROMA,SAMPDORIA,93',0,0,1,1,0,1,1,106,0,0,83,92,32,13,0,0,0
G.MANCINI,23,2020-2021,ROMA,16,CROTONE,ROMA,95',0,0,1,0,0,0,2,58,0,0,37,88,13,5,0,0,0
G.MANCINI,23,2020-2021,ROMA,17,ROMA,INTER,98',1,0,2,2,0,2,1,78,0,0,55,89,29,10,1,0,0
G.MANCINI,23,2020-2021,ROMA,18,LAZIO,ROMA,74',0,0,1,0,1,0,0,82,0,0,60,94,27,10,1,0,0
G.MANCINI,23,2020-2021,ROMA,20,ROMA,HELLAS VERONA,96',1,0,1,1,0,1,0,61,0,0,42,91,21,13,0,0,0
G.MANCINI,23,2020-2021,ROMA,21,JUVENTUS,ROMA,96',0,0,2,0,0,1,0,87,0,0,66,89,38,8,1,0,0
G.MANCINI,23,2020-2021,ROMA,22,ROMA,UDINESE,97',0,0,0,0,0,0,0,73,1,0,54,90,23,6,0,0,0
G.MANCINI,23,2020-2021,ROMA,23,BENEVENTO,ROMA,98',0,0,0,0,0,0,1,79,0,0,69,96,31,4,0,0,0
G.MANCINI,23,2020-2021,ROMA,24,ROMA,MILAN,97',0,0,0,0,0,0,0,68,0,1,52,90,26,3,0,0,0
G.MANCINI,23,2020-2021,ROMA,25,FIORENTINA,ROMA,98',0,0,0,0,0,0,1,62,1,0,40,85,16,8,1,0,0
G.MANCINI,23,2020-2021,ROMA,26,ROMA,GENOA,96',1,0,3,1,0,2,0,85,0,0,74,96,32,5,1,0,0
