Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
G.RAMIREZ,11,2020-2021,SAMPDORIA,1,JUVENTUS,SAMPDORIA,47',0,0,2,1,0,1,4,34,0,0,8,73,7,4,0,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,2,SAMPDORIA,BENEVENTO,31',0,0,1,0,1,0,0,15,0,0,8,89,9,0,1,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,3,FIORENTINA,SAMPDORIA,96',0,0,3,2,1,1,2,34,0,0,14,82,12,4,0,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,4,SAMPDORIA,LAZIO,57',0,0,0,0,0,0,1,43,0,0,26,76,16,2,1,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,5,ATALANTA,SAMPDORIA,67',0,0,0,0,0,0,1,45,0,1,21,72,11,3,0,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,6,SAMPDORIA,GENOA,66',0,0,1,0,0,0,1,43,0,0,15,79,10,1,0,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,7,CAGLIARI,SAMPDORIA,43',0,0,0,0,0,0,4,21,0,0,7,70,6,1,0,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,8,SAMPDORIA,BOLOGNA,30',0,0,1,1,0,0,0,19,0,0,6,60,4,1,1,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,9,TORINO,SAMPDORIA,11',0,0,0,0,0,0,1,7,0,0,4,80,2,1,0,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,11,NAPOLI,SAMPDORIA,32',0,0,0,0,0,0,1,20,0,0,14,88,4,1,1,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,12,HELLAS VERONA,SAMPDORIA,24',0,0,1,0,0,1,1,34,0,0,19,86,17,3,0,0,0
G.RAMIREZ,11,2020-2021,SAMPDORIA,13,SAMPDORIA,CROTONE,35',0,0,1,0,0,0,0,26,0,0,18,75,15,3,0,0,0
