Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
J.CHABOT,22,2020-2021,SPEZIA,1,UDINESE,SPEZIA,97',0,0,0,0,0,0,0,72,0,0,57,95,9,9,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,2,SPEZIA,SASSUOLO,6',0,0,0,0,0,0,0,3,0,0,2,100,1,0,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,3,MILAN,SPEZIA,97',0,0,0,0,0,0,3,48,0,0,30,91,8,11,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,4,SPEZIA,FIORENTINA,96',0,0,0,0,0,0,4,70,0,0,42,82,8,14,1,0,0
J.CHABOT,22,2020-2021,SPEZIA,5,PARMA,SPEZIA,94',1,0,1,1,0,1,1,51,0,0,36,84,10,7,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,6,SPEZIA,JUVENTUS,76',0,0,1,1,0,1,1,46,0,0,27,84,6,10,1,0,0
J.CHABOT,22,2020-2021,SPEZIA,7,BENEVENTO,SPEZIA,45',0,0,0,0,0,0,1,41,0,0,34,89,9,3,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,8,SPEZIA,ATALANTA,20',0,0,0,0,0,0,0,14,0,0,7,88,2,4,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,9,CAGLIARI,SPEZIA,32',0,0,2,0,0,1,0,27,0,0,10,56,3,8,1,0,0
J.CHABOT,22,2020-2021,SPEZIA,10,SPEZIA,LAZIO,94',0,0,1,1,0,1,2,108,0,0,84,89,27,9,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,11,CROTONE,SPEZIA,97',0,0,0,0,0,0,2,60,0,0,37,84,13,11,1,0,0
J.CHABOT,22,2020-2021,SPEZIA,12,SPEZIA,BOLOGNA,97',0,0,0,0,0,0,2,57,0,0,27,75,9,14,1,0,0
J.CHABOT,22,2020-2021,SPEZIA,14,SPEZIA,GENOA,45',0,0,0,0,0,0,1,62,0,0,51,89,9,1,1,0,0
J.CHABOT,22,2020-2021,SPEZIA,15,SPEZIA,HELLAS VERONA,69',0,0,0,0,0,0,0,45,0,0,30,77,10,5,0,1,0
J.CHABOT,22,2020-2021,SPEZIA,17,SPEZIA,SAMPDORIA,99',0,0,0,0,0,0,2,86,1,0,61,91,16,12,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,18,TORINO,SPEZIA,96',0,0,0,0,0,0,0,34,0,0,23,85,2,2,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,19,ROMA,SPEZIA,82',0,0,0,0,0,0,1,83,0,0,62,89,12,6,1,0,0
J.CHABOT,22,2020-2021,SPEZIA,20,SPEZIA,UDINESE,95',0,0,1,0,0,0,2,77,0,0,57,89,17,8,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,21,SASSUOLO,SPEZIA,4',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.CHABOT,22,2020-2021,SPEZIA,23,FIORENTINA,SPEZIA,101',0,0,0,0,0,0,1,79,0,0,55,90,12,11,0,0,0
