Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
J.CORREA,11,2020-2021,LAZIO,2,CAGLIARI,LAZIO,70',0,0,0,0,0,0,1,31,0,0,22,96,15,2,0,0,0
J.CORREA,11,2020-2021,LAZIO,3,LAZIO,INTER,97',0,0,2,0,0,0,4,38,0,0,14,74,10,2,0,0,0
J.CORREA,11,2020-2021,LAZIO,4,SAMPDORIA,LAZIO,93',0,0,2,0,1,1,2,60,0,0,33,75,24,2,0,0,0
J.CORREA,11,2020-2021,LAZIO,5,LAZIO,BOLOGNA,65',0,0,0,0,0,0,4,35,0,1,13,68,9,2,0,0,0
J.CORREA,11,2020-2021,LAZIO,6,TORINO,LAZIO,74',0,0,0,0,0,0,2,38,0,0,28,97,20,2,0,0,0
J.CORREA,11,2020-2021,LAZIO,7,LAZIO,JUVENTUS,97',0,0,3,1,1,0,2,52,1,0,32,89,27,0,0,0,0
J.CORREA,11,2020-2021,LAZIO,8,CROTONE,LAZIO,63',1,0,3,3,0,1,3,40,0,1,18,86,13,0,0,0,0
J.CORREA,11,2020-2021,LAZIO,9,LAZIO,UDINESE,98',0,0,2,2,0,1,1,62,0,1,39,85,36,1,0,0,0
J.CORREA,11,2020-2021,LAZIO,11,LAZIO,HELLAS VERONA,31',0,0,0,0,0,0,2,15,0,1,10,83,7,0,0,0,0
J.CORREA,11,2020-2021,LAZIO,12,BENEVENTO,LAZIO,94',0,0,1,0,1,0,3,78,0,1,45,85,40,4,0,0,0
J.CORREA,11,2020-2021,LAZIO,14,MILAN,LAZIO,32',0,0,1,1,0,1,1,15,0,1,8,80,5,0,0,0,0
J.CORREA,11,2020-2021,LAZIO,19,LAZIO,SASSUOLO,68',0,0,3,1,2,2,1,48,1,0,17,77,19,2,0,0,0
J.CORREA,11,2020-2021,LAZIO,20,ATALANTA,LAZIO,81',1,0,2,1,1,1,1,41,0,0,16,73,8,3,0,0,0
J.CORREA,11,2020-2021,LAZIO,21,LAZIO,CAGLIARI,73',0,0,1,0,1,0,1,38,0,1,19,95,14,4,1,0,0
J.CORREA,11,2020-2021,LAZIO,22,INTER,LAZIO,74',0,0,1,1,0,0,1,40,0,0,25,86,21,2,0,0,0
J.CORREA,11,2020-2021,LAZIO,23,LAZIO,SAMPDORIA,56',0,0,1,1,0,1,3,48,0,1,28,90,23,1,0,0,0
J.CORREA,11,2020-2021,LAZIO,24,BOLOGNA,LAZIO,95',0,0,3,1,2,1,3,58,0,1,27,87,21,0,0,0,0
J.CORREA,11,2020-2021,LAZIO,26,JUVENTUS,LAZIO,94',1,0,4,1,2,2,2,51,0,2,21,81,13,3,0,0,0
