Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
L.MURIEL,9,2020-2021,ATALANTA,1,LAZIO,ATALANTA,12',0,0,1,0,0,1,0,9,0,0,4,100,4,0,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,2,TORINO,ATALANTA,65',1,0,4,1,2,1,1,44,1,0,19,79,16,0,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,3,ATALANTA,CAGLIARI,75',1,0,5,2,0,3,1,43,0,0,20,74,16,2,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,4,NAPOLI,ATALANTA,13',0,0,0,0,0,0,2,8,0,0,2,100,0,0,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,6,CROTONE,ATALANTA,46',2,0,6,4,1,5,0,34,0,0,11,73,8,2,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,7,ATALANTA,INTER,21',0,0,2,0,0,1,1,26,1,1,17,89,12,0,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,9,ATALANTA,HELLAS VERONA,31',0,0,3,0,0,2,0,21,0,0,8,67,4,3,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,11,ATALANTA,FIORENTINA,19',0,0,0,0,0,0,0,14,0,0,8,89,7,0,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,12,JUVENTUS,ATALANTA,23',0,0,0,0,0,0,0,9,0,0,5,100,3,0,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,13,ATALANTA,ROMA,19',1,0,1,1,0,1,0,14,0,0,4,67,4,2,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,14,BOLOGNA,ATALANTA,66',2,0,2,2,0,2,0,48,0,0,22,79,18,3,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,15,ATALANTA,SASSUOLO,30',1,0,1,1,0,1,0,19,0,0,9,82,7,0,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,16,ATALANTA,PARMA,47',1,0,3,2,0,1,0,40,0,0,13,68,12,2,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,17,BENEVENTO,ATALANTA,20',1,0,3,3,0,3,0,19,0,1,7,100,7,1,0,0,0
L.MURIEL,9,2020-2021,ATALANTA,18,ATALANTA,GENOA,40',0,0,3,0,0,0,1,34,0,0,17,81,14,1,0,0,0
