Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.DIJKS,35,2020-2021,BOLOGNA,1,MILAN,BOLOGNA,89',0,0,0,0,0,0,2,63,0,0,35,85,12,4,0,1,0
M.DIJKS,35,2020-2021,BOLOGNA,13,TORINO,BOLOGNA,32',0,0,0,0,0,0,0,17,0,0,11,85,7,1,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,14,BOLOGNA,ATALANTA,79',0,0,0,0,0,0,0,54,0,0,37,86,16,3,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,15,FIORENTINA,BOLOGNA,93',0,0,1,1,0,0,0,61,0,0,26,79,19,9,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,16,BOLOGNA,UDINESE,77',0,0,0,0,0,0,0,37,0,0,15,79,8,3,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,17,GENOA,BOLOGNA,33',0,0,0,0,0,0,2,34,0,0,12,60,5,1,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,18,BOLOGNA,HELLAS VERONA,95',0,0,0,0,0,0,1,66,0,0,21,66,16,4,1,0,0
M.DIJKS,35,2020-2021,BOLOGNA,19,JUVENTUS,BOLOGNA,77',0,0,0,0,0,0,1,50,0,0,26,79,16,1,1,0,0
M.DIJKS,35,2020-2021,BOLOGNA,20,BOLOGNA,MILAN,80',0,0,0,0,0,0,1,52,0,0,25,83,11,6,1,0,0
M.DIJKS,35,2020-2021,BOLOGNA,21,PARMA,BOLOGNA,95',0,0,0,0,0,0,2,58,0,0,23,72,11,6,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,22,BOLOGNA,BENEVENTO,96',0,0,0,0,0,0,0,85,0,0,33,70,19,4,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,27,BOLOGNA,SAMPDORIA,94',0,0,0,0,0,0,1,45,0,0,16,76,8,7,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,28,CROTONE,BOLOGNA,60',0,0,0,0,0,0,1,39,0,0,15,75,10,4,1,0,0
M.DIJKS,35,2020-2021,BOLOGNA,29,BOLOGNA,INTER,83',0,0,0,0,0,0,1,59,0,0,34,87,22,2,0,0,0
M.DIJKS,35,2020-2021,BOLOGNA,30,ROMA,BOLOGNA,94',0,0,0,0,0,0,1,79,0,0,45,83,25,4,0,0,0
