Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.PESSINA,32,2020-2021,ATALANTA,6,CROTONE,ATALANTA,5',0,0,0,0,0,0,0,7,0,0,6,86,4,0,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,7,ATALANTA,INTER,35',0,0,0,0,0,0,0,39,0,0,34,92,20,2,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,8,SPEZIA,ATALANTA,97',0,0,0,0,0,0,2,67,0,0,42,89,24,5,1,0,0
M.PESSINA,32,2020-2021,ATALANTA,11,ATALANTA,FIORENTINA,90',0,0,0,0,0,0,1,52,0,0,36,92,21,4,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,12,JUVENTUS,ATALANTA,56',0,0,2,1,0,0,2,34,0,2,19,83,14,1,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,13,ATALANTA,ROMA,48',0,0,0,0,0,0,2,24,0,0,10,77,7,1,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,14,BOLOGNA,ATALANTA,94',0,0,1,1,0,1,0,63,0,0,38,86,26,3,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,15,ATALANTA,SASSUOLO,64',1,0,2,1,0,1,1,54,0,0,35,83,29,3,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,16,ATALANTA,PARMA,94',0,0,0,0,0,0,2,61,0,0,47,89,32,1,1,0,0
M.PESSINA,32,2020-2021,ATALANTA,17,BENEVENTO,ATALANTA,64',0,0,1,0,0,0,1,43,0,0,26,76,21,0,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,19,MILAN,ATALANTA,93',0,0,0,0,0,0,0,40,0,0,28,88,16,0,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,10,UDINESE,ATALANTA,99',0,0,1,1,0,0,1,73,0,0,57,90,38,2,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,21,ATALANTA,TORINO,87',0,0,0,0,0,0,0,64,0,0,48,89,30,4,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,22,CAGLIARI,ATALANTA,46',0,0,0,0,0,0,1,44,0,0,24,63,12,3,0,0,0
M.PESSINA,32,2020-2021,ATALANTA,23,ATALANTA,NAPOLI,84',0,0,3,1,1,1,2,41,0,1,20,80,14,1,0,0,0
