Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
M.SAU,25,2020-2021,BENEVENTO,2,SAMPDORIA,BENEVENTO,19',0,0,0,0,0,0,0,10,1,0,5,71,4,0,0,0,0
M.SAU,25,2020-2021,BENEVENTO,3,BENEVENTO,BOLOGNA,33',0,0,0,0,0,0,0,10,1,0,4,80,4,0,0,0,0
M.SAU,25,2020-2021,BENEVENTO,4,ROMA,BENEVENTO,11',0,0,0,0,0,0,0,5,0,0,3,100,2,0,0,0,0
M.SAU,25,2020-2021,BENEVENTO,5,BENEVENTO,NAPOLI,33',0,0,1,1,0,1,2,12,0,0,4,67,4,0,0,0,0
M.SAU,25,2020-2021,BENEVENTO,7,BENEVENTO,SPEZIA,77',0,0,1,1,0,1,0,24,0,0,8,89,2,1,0,0,0
M.SAU,25,2020-2021,BENEVENTO,8,FIORENTINA,BENEVENTO,47',0,0,0,0,0,0,3,24,0,0,7,78,3,1,0,0,0
M.SAU,25,2020-2021,BENEVENTO,9,BENEVENTO,JUVENTUS,24',0,0,1,0,1,0,2,18,0,0,5,56,5,2,0,0,0
M.SAU,25,2020-2021,BENEVENTO,10,PARMA,BENEVENTO,25',0,0,0,0,0,0,1,16,0,0,8,89,5,1,0,0,0
M.SAU,25,2020-2021,BENEVENTO,11,SASSUOLO,BENEVENTO,19',0,0,0,0,0,0,0,9,0,0,4,80,3,0,0,0,0
M.SAU,25,2020-2021,BENEVENTO,13,BENEVENTO,GENOA,15',1,0,1,1,0,1,1,6,0,0,1,50,1,0,0,0,0
M.SAU,25,2020-2021,BENEVENTO,14,UDINESE,BENEVENTO,17',0,0,0,0,0,0,0,9,0,0,4,67,2,1,0,0,0
