Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,2,HELLAS VERONA,UDINESE,4',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,6,HELLAS VERONA,BENEVENTO,50',0,0,0,0,0,0,0,23,0,0,16,94,4,4,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,7,MILAN,HELLAS VERONA,63',0,0,0,0,0,0,0,18,0,0,8,73,3,5,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,8,HELLAS VERONA,SASSUOLO,95',0,0,1,1,0,1,0,48,0,0,29,85,17,3,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,9,ATALANTA,HELLAS VERONA,95',0,0,0,0,0,0,0,43,0,0,23,77,4,8,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,10,HELLAS VERONA,CAGLIARI,93',0,0,1,0,0,0,0,44,0,1,28,93,2,12,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,11,LAZIO,HELLAS VERONA,98',0,0,0,0,0,0,1,64,0,0,44,83,15,11,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,12,HELLAS VERONA,SAMPDORIA,90',0,0,0,0,0,0,1,83,0,0,58,85,7,15,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,13,FIORENTINA,HELLAS VERONA,98',0,0,0,0,0,0,0,42,0,0,16,55,9,11,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,14,HELLAS VERONA,INTER,31',0,0,1,0,1,0,0,21,0,0,11,85,5,2,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,15,SPEZIA,HELLAS VERONA,94',0,0,2,1,0,1,0,46,0,0,20,74,2,15,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,16,TORINO,HELLAS VERONA,48',0,0,0,0,0,0,0,32,0,0,25,89,13,2,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,17,HELLAS VERONA,CROTONE,48',0,0,0,0,0,0,0,13,0,0,7,100,3,3,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,18,BOLOGNA,HELLAS VERONA,89',0,0,1,0,0,0,0,65,0,0,43,84,21,10,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,19,HELLAS VERONA,NAPOLI,96',0,0,0,0,0,0,0,49,0,0,33,87,11,5,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,20,ROMA,HELLAS VERONA,96',0,0,0,0,0,0,0,52,0,0,35,85,18,5,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,21,UDINESE,HELLAS VERONA,48',0,0,0,0,0,0,0,27,0,0,15,71,2,2,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,24,HELLAS VERONA,JUVENTUS,9',0,0,0,0,0,0,0,6,0,0,1,50,1,1,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,25,BENEVENTO,HELLAS VERONA,7',0,0,0,0,0,0,0,4,0,0,1,50,1,2,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,27,SASSUOLO,HELLAS VERONA,39',0,0,0,0,0,0,1,32,0,0,22,88,7,4,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,28,HELLAS VERONA,ATALANTA,94',0,0,0,0,0,0,0,47,0,0,28,74,7,11,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,30,HELLAS VERONA,LAZIO,95',0,0,0,0,0,0,0,49,0,0,36,86,13,6,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,31,SAMPDORIA,HELLAS VERONA,94',0,0,4,4,0,3,3,53,0,0,32,84,7,5,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,32,HELLAS VERONA,FIORENTINA,97',0,0,1,0,0,0,0,78,0,0,60,87,19,2,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,33,INTER,HELLAS VERONA,48',0,0,0,0,0,0,0,43,0,0,33,89,18,6,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,34,HELLAS VERONA,SPEZIA,95',0,0,0,0,0,0,1,50,0,0,37,90,8,2,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,35,HELLAS VERONA,TORINO,48',0,0,0,0,0,0,0,30,0,0,24,96,6,4,1,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,36,CROTONE,HELLAS VERONA,47',0,0,1,1,0,1,1,35,0,0,21,70,5,4,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,37,HELLAS VERONA,BOLOGNA,20',0,0,0,0,0,0,0,7,0,0,5,83,1,1,0,0,0
P.DAWIDOWICZ,27,2020-2021,HELLAS VERONA,38,NAPOLI,HELLAS VERONA,41',0,0,0,0,0,0,0,17,0,0,7,70,2,2,1,0,0
