Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
R.MANDRAGORA,38,2020-2021,UDINESE,8,UDINESE,GENOA,31',0,0,1,1,0,0,0,21,0,0,10,91,5,1,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,11,TORINO,UDINESE,33',0,0,0,0,0,0,0,17,0,0,7,58,3,4,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,13,CAGLIARI,UDINESE,16',0,0,1,0,0,0,0,5,0,0,2,100,2,1,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,15,JUVENTUS,UDINESE,19',0,0,0,0,0,0,0,12,0,0,8,80,5,0,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,16,BOLOGNA,UDINESE,36',0,0,1,1,0,1,0,41,0,0,26,87,23,2,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,17,UDINESE,NAPOLI,97',0,0,3,2,0,0,0,41,0,0,25,83,13,1,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,18,SAMPDORIA,UDINESE,77',0,0,1,1,0,1,0,45,0,0,27,82,13,2,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,19,UDINESE,INTER,33',0,0,0,0,0,0,1,14,0,0,4,40,3,1,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,20,SPEZIA,UDINESE,35',0,0,0,0,0,0,1,8,0,0,3,75,1,1,0,0,0
R.MANDRAGORA,38,2020-2021,UDINESE,10,UDINESE,ATALANTA,60',0,0,0,0,0,0,2,19,0,0,11,79,5,1,0,0,0
R.MANDRAGORA,38,2020-2021,TORINO,21,ATALANTA,TORINO,96',0,0,1,1,0,1,2,57,0,0,32,84,12,7,0,0,0
R.MANDRAGORA,38,2020-2021,TORINO,22,TORINO,GENOA,95',0,0,0,0,0,0,3,54,0,0,31,70,11,2,0,0,0
R.MANDRAGORA,38,2020-2021,TORINO,23,CAGLIARI,TORINO,95',0,0,2,0,0,0,0,60,1,0,32,76,19,5,0,0,0
R.MANDRAGORA,38,2020-2021,TORINO,26,CROTONE,TORINO,96',1,0,1,1,0,1,3,61,0,0,36,86,19,4,1,0,0
