Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
S.CASTILLEJO,7,2020-2021,MILAN,1,MILAN,BOLOGNA,46',0,0,0,0,0,0,2,27,0,1,12,75,7,3,1,0,0
S.CASTILLEJO,7,2020-2021,MILAN,2,CROTONE,MILAN,31',0,0,0,0,0,0,0,16,0,0,11,79,7,0,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,4,INTER,MILAN,34',0,0,1,0,0,0,1,12,0,1,4,67,4,2,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,5,MILAN,ROMA,24',0,0,0,0,0,0,0,6,0,0,0,0,2,1,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,8,NAPOLI,MILAN,24',0,0,2,0,1,0,0,14,0,0,4,80,2,1,1,0,0
S.CASTILLEJO,7,2020-2021,MILAN,10,SAMPDORIA,MILAN,18',1,0,1,1,0,1,0,6,0,0,4,100,2,0,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,11,MILAN,PARMA,48',0,0,2,1,0,0,2,18,0,0,6,86,6,1,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,12,GENOA,MILAN,54',0,0,1,0,0,0,1,37,0,0,16,70,11,2,1,0,0
S.CASTILLEJO,7,2020-2021,MILAN,13,SASSUOLO,MILAN,18',0,0,0,0,0,0,0,9,0,0,6,86,6,0,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,14,MILAN,LAZIO,27',0,0,0,0,0,0,1,13,0,0,6,86,5,2,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,15,BENEVENTO,MILAN,24',0,0,0,0,0,0,1,19,0,1,10,83,7,1,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,16,MILAN,JUVENTUS,87',0,0,1,1,0,1,3,43,0,0,15,79,11,5,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,17,MILAN,TORINO,99',0,0,1,0,0,0,1,56,0,0,25,86,18,3,0,0,0
S.CASTILLEJO,7,2020-2021,MILAN,18,CAGLIARI,MILAN,94',0,0,0,0,0,0,0,56,0,0,33,87,17,2,0,0,0
