Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
S.DE MAIO,87,2020-2021,UDINESE,1,UDINESE,SPEZIA,97',0,0,0,0,0,0,0,66,0,0,53,90,21,8,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,2,HELLAS VERONA,UDINESE,81',0,0,1,1,0,0,2,51,0,0,31,91,7,14,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,3,UDINESE,ROMA,95',0,0,0,0,0,0,0,52,0,0,36,90,7,10,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,4,UDINESE,PARMA,97',0,0,0,0,0,0,0,55,0,0,36,90,7,13,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,5,FIORENTINA,UDINESE,96',0,0,2,0,1,0,1,76,0,0,55,90,16,13,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,6,UDINESE,MILAN,94',0,0,0,0,0,0,0,37,0,0,19,79,6,10,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,13,CAGLIARI,UDINESE,5',0,0,0,0,0,0,0,3,0,0,1,33,0,1,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,15,JUVENTUS,UDINESE,66',0,0,0,0,0,0,0,37,0,0,23,77,6,5,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,19,UDINESE,INTER,33',0,0,0,0,0,0,0,9,0,0,5,71,2,1,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,20,SPEZIA,UDINESE,7',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S.DE MAIO,87,2020-2021,UDINESE,10,UDINESE,ATALANTA,8',0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,24,UDINESE,FIORENTINA,4',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,26,UDINESE,SASSUOLO,96',0,0,0,0,0,0,0,33,0,0,13,72,1,12,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,27,GENOA,UDINESE,94',0,0,1,0,0,1,0,49,0,0,33,85,7,5,0,0,0
S.DE MAIO,87,2020-2021,UDINESE,35,UDINESE,BOLOGNA,53',0,0,1,0,0,0,0,12,0,0,4,67,1,2,0,0,0
