Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
S.IACOPONI,2,2020-2021,PARMA,1,PARMA,NAPOLI,97',0,0,0,0,0,0,1,82,0,0,61,91,12,11,0,0,0
S.IACOPONI,2,2020-2021,PARMA,2,BOLOGNA,PARMA,77',0,0,0,0,0,0,0,33,0,0,24,86,5,4,0,0,1
S.IACOPONI,2,2020-2021,PARMA,4,UDINESE,PARMA,97',0,1,1,0,0,0,1,71,0,0,51,89,10,6,1,0,0
S.IACOPONI,2,2020-2021,PARMA,5,PARMA,SPEZIA,94',0,0,0,0,0,0,1,63,0,0,47,78,13,1,0,0,0
S.IACOPONI,2,2020-2021,PARMA,6,INTER,PARMA,97',0,0,0,0,0,0,1,43,0,0,24,86,1,17,0,0,0
S.IACOPONI,2,2020-2021,PARMA,8,ROMA,PARMA,8',0,0,0,0,0,0,0,7,0,0,6,100,1,0,0,0,0
S.IACOPONI,2,2020-2021,PARMA,9,GENOA,PARMA,24',0,0,0,0,0,0,0,4,0,0,2,67,2,0,0,0,0
S.IACOPONI,2,2020-2021,PARMA,10,PARMA,BENEVENTO,94',0,0,0,0,0,0,1,64,0,0,37,86,22,3,0,0,0
S.IACOPONI,2,2020-2021,PARMA,11,MILAN,PARMA,97',0,0,0,0,0,0,2,53,0,0,25,64,9,3,1,0,0
S.IACOPONI,2,2020-2021,PARMA,12,PARMA,CAGLIARI,97',0,0,1,0,0,0,0,78,0,0,36,78,18,7,0,0,0
S.IACOPONI,2,2020-2021,PARMA,13,PARMA,JUVENTUS,60',0,0,1,1,0,0,0,51,0,0,30,91,11,6,0,0,0
S.IACOPONI,2,2020-2021,PARMA,14,CROTONE,PARMA,52',0,0,0,0,0,0,0,28,0,0,14,88,10,1,1,0,0
