Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
S.LUKIC,7,2020-2021,TORINO,1,FIORENTINA,TORINO,28',0,0,0,0,0,0,1,18,0,0,9,69,4,2,0,0,0
S.LUKIC,7,2020-2021,TORINO,2,TORINO,ATALANTA,31',0,0,0,0,0,0,0,21,0,0,12,86,7,1,0,0,0
S.LUKIC,7,2020-2021,TORINO,3,GENOA,TORINO,99',1,0,2,1,0,1,0,51,0,1,28,78,21,5,1,0,0
S.LUKIC,7,2020-2021,TORINO,4,TORINO,CAGLIARI,96',0,0,0,0,0,0,2,57,0,1,37,90,29,0,0,0,0
S.LUKIC,7,2020-2021,TORINO,5,SASSUOLO,TORINO,97',1,0,2,1,0,1,1,39,0,0,19,73,15,3,0,0,0
S.LUKIC,7,2020-2021,TORINO,6,TORINO,LAZIO,101',1,0,1,1,0,1,2,35,0,0,21,81,15,2,0,0,0
S.LUKIC,7,2020-2021,TORINO,7,TORINO,CROTONE,96',0,0,1,0,1,0,2,37,0,0,20,74,13,2,0,0,0
S.LUKIC,7,2020-2021,TORINO,10,JUVENTUS,TORINO,23',0,0,0,0,0,0,0,7,0,0,6,100,4,0,1,0,0
S.LUKIC,7,2020-2021,TORINO,11,TORINO,UDINESE,49',0,0,0,0,0,0,1,32,0,0,17,85,15,0,1,0,0
S.LUKIC,7,2020-2021,TORINO,12,ROMA,TORINO,47',0,0,0,0,0,0,1,17,0,1,11,100,7,3,0,0,0
S.LUKIC,7,2020-2021,TORINO,13,TORINO,BOLOGNA,95',0,0,0,0,0,0,1,41,0,0,20,74,16,5,0,0,0
S.LUKIC,7,2020-2021,TORINO,14,NAPOLI,TORINO,90',0,0,0,0,0,0,0,37,0,0,17,89,12,0,0,0,0
S.LUKIC,7,2020-2021,TORINO,15,PARMA,TORINO,97',0,0,0,0,0,0,2,38,0,0,16,76,12,1,0,0,0
S.LUKIC,7,2020-2021,TORINO,16,TORINO,HELLAS VERONA,81',0,0,3,0,2,1,4,46,0,0,23,74,16,2,0,0,0
S.LUKIC,7,2020-2021,TORINO,17,MILAN,TORINO,99',0,0,0,0,0,0,2,58,0,0,38,88,24,2,0,0,0
S.LUKIC,7,2020-2021,TORINO,18,TORINO,SPEZIA,96',0,0,0,0,0,0,1,48,0,0,31,82,20,3,0,0,0
S.LUKIC,7,2020-2021,TORINO,19,BENEVENTO,TORINO,78',0,0,0,0,0,0,0,42,0,0,28,97,17,3,0,0,0
S.LUKIC,7,2020-2021,TORINO,20,TORINO,FIORENTINA,75',0,0,3,2,1,1,3,37,0,1,21,95,16,2,0,0,0
S.LUKIC,7,2020-2021,TORINO,21,ATALANTA,TORINO,57',0,0,0,0,0,0,0,31,0,0,15,56,9,2,0,0,0
S.LUKIC,7,2020-2021,TORINO,22,TORINO,GENOA,73',0,0,2,0,1,0,2,30,0,0,18,82,10,1,0,0,0
S.LUKIC,7,2020-2021,TORINO,23,CAGLIARI,TORINO,78',0,0,0,0,0,0,2,41,0,1,24,77,13,2,1,0,0
