Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
S.LUPERTO,13,2020-2021,CROTONE,4,CROTONE,JUVENTUS,83',0,0,0,0,0,0,0,62,0,0,49,89,11,3,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,5,CAGLIARI,CROTONE,95',0,0,0,0,0,0,0,87,0,0,62,89,4,8,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,6,CROTONE,ATALANTA,95',0,0,0,0,0,0,1,67,0,0,44,77,9,6,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,7,TORINO,CROTONE,89',0,0,0,0,0,0,0,54,0,0,41,89,10,7,0,1,0
S.LUPERTO,13,2020-2021,CROTONE,9,BOLOGNA,CROTONE,97',0,0,0,0,0,0,2,70,0,0,42,79,17,7,1,0,0
S.LUPERTO,13,2020-2021,CROTONE,10,CROTONE,NAPOLI,95',0,0,0,0,0,0,0,44,0,0,36,90,11,1,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,11,CROTONE,SPEZIA,97',0,0,0,0,0,0,0,45,0,0,25,69,4,7,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,13,SAMPDORIA,CROTONE,97',0,0,0,0,0,0,1,95,0,0,69,83,19,10,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,14,CROTONE,PARMA,98',0,0,0,0,0,0,2,55,0,0,33,77,9,7,1,0,0
S.LUPERTO,13,2020-2021,CROTONE,15,INTER,CROTONE,71',0,0,0,0,0,0,1,66,0,0,47,89,15,8,1,0,0
S.LUPERTO,13,2020-2021,CROTONE,17,HELLAS VERONA,CROTONE,94',0,0,0,0,0,0,1,64,0,0,40,78,13,10,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,18,CROTONE,BENEVENTO,13',0,0,0,0,0,0,0,6,0,0,2,50,0,1,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,19,FIORENTINA,CROTONE,87',0,0,0,0,0,0,1,66,0,0,49,86,16,7,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,21,MILAN,CROTONE,90',0,0,1,0,0,0,2,60,0,0,39,80,15,5,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,22,CROTONE,SASSUOLO,97',0,0,0,0,0,0,2,53,0,0,29,74,6,7,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,23,JUVENTUS,CROTONE,49',0,0,0,0,0,0,0,14,0,0,6,67,4,3,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,24,CROTONE,CAGLIARI,97',0,0,0,0,0,0,2,60,0,0,40,80,16,6,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,25,ATALANTA,CROTONE,91',0,0,0,0,0,0,1,39,0,0,18,78,5,6,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,26,CROTONE,TORINO,96',0,0,0,0,0,0,3,38,0,0,21,78,8,8,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,27,LAZIO,CROTONE,94',0,0,0,0,0,0,1,47,0,0,26,79,10,13,0,0,0
S.LUPERTO,13,2020-2021,CROTONE,29,NAPOLI,CROTONE,92',0,0,0,0,0,0,0,36,0,0,26,84,8,6,0,0,0
