Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
W.HOEDT,14,2020-2021,LAZIO,4,SAMPDORIA,LAZIO,59',0,0,0,0,0,0,0,47,0,0,35,97,15,6,0,0,0
W.HOEDT,14,2020-2021,LAZIO,5,LAZIO,BOLOGNA,96',0,0,0,0,0,0,0,70,0,0,43,84,11,15,1,0,0
W.HOEDT,14,2020-2021,LAZIO,6,TORINO,LAZIO,101',0,0,0,0,0,0,1,110,0,0,94,96,39,8,1,0,0
W.HOEDT,14,2020-2021,LAZIO,7,LAZIO,JUVENTUS,41',0,0,0,0,0,0,0,37,0,0,33,97,21,3,0,0,0
W.HOEDT,14,2020-2021,LAZIO,8,CROTONE,LAZIO,15',0,0,0,0,0,0,0,10,0,0,2,50,1,6,0,0,0
W.HOEDT,14,2020-2021,LAZIO,10,SPEZIA,LAZIO,5',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W.HOEDT,14,2020-2021,LAZIO,11,LAZIO,HELLAS VERONA,70',0,0,0,0,0,0,0,59,0,0,42,82,14,12,0,0,0
W.HOEDT,14,2020-2021,LAZIO,12,BENEVENTO,LAZIO,94',0,0,0,0,0,0,1,107,0,0,95,94,59,8,0,0,0
W.HOEDT,14,2020-2021,LAZIO,13,LAZIO,NAPOLI,95',0,0,2,0,0,0,0,58,0,0,42,89,6,5,1,0,0
W.HOEDT,14,2020-2021,LAZIO,14,MILAN,LAZIO,6',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W.HOEDT,14,2020-2021,LAZIO,16,LAZIO,FIORENTINA,97',0,0,0,0,0,0,1,64,0,0,43,88,12,11,1,0,0
W.HOEDT,14,2020-2021,LAZIO,18,LAZIO,ROMA,14',0,0,0,0,0,0,0,5,0,0,4,100,2,1,0,0,0
W.HOEDT,14,2020-2021,LAZIO,22,INTER,LAZIO,49',0,0,0,0,0,0,0,55,0,0,45,94,25,4,1,0,0
W.HOEDT,14,2020-2021,LAZIO,24,BOLOGNA,LAZIO,95',0,0,0,0,0,0,0,65,0,0,44,81,13,6,1,0,0
W.HOEDT,14,2020-2021,LAZIO,26,JUVENTUS,LAZIO,94',0,0,0,0,0,0,0,46,0,0,31,91,6,9,0,0,0
W.HOEDT,14,2020-2021,LAZIO,31,LAZIO,BENEVENTO,8',0,0,0,0,0,0,0,6,0,0,2,67,0,3,0,0,0
