Name,#,Year,Team,Matchday,Team 1,Team 2,M,G,OG,A,AT,BS,SC,FS,BP,AS,KP,P,P%,PA,R,FYC,SYC,RC
WALACE,11,2020-2021,UDINESE,5,FIORENTINA,UDINESE,40',0,0,1,0,1,0,0,27,0,0,17,89,8,1,0,0,0
WALACE,11,2020-2021,UDINESE,9,LAZIO,UDINESE,14',0,0,0,0,0,0,1,11,0,0,4,80,3,0,0,0,0
WALACE,11,2020-2021,UDINESE,11,TORINO,UDINESE,63',0,0,0,0,0,0,3,49,0,0,33,89,19,3,0,0,0
WALACE,11,2020-2021,UDINESE,13,CAGLIARI,UDINESE,94',0,0,0,0,0,0,0,64,0,0,48,96,24,4,0,0,0
WALACE,11,2020-2021,UDINESE,14,UDINESE,BENEVENTO,30',0,0,0,0,0,0,0,21,0,0,15,94,13,0,0,0,0
WALACE,11,2020-2021,UDINESE,15,JUVENTUS,UDINESE,83',0,0,2,0,2,0,2,59,0,0,40,89,19,3,0,0,0
WALACE,11,2020-2021,UDINESE,16,BOLOGNA,UDINESE,60',0,0,0,0,0,0,0,38,0,0,30,91,13,0,1,0,0
WALACE,11,2020-2021,UDINESE,17,UDINESE,NAPOLI,24',0,0,1,0,0,0,0,16,0,0,9,82,2,1,0,0,0
WALACE,11,2020-2021,UDINESE,18,SAMPDORIA,UDINESE,84',0,0,0,0,0,0,2,56,0,1,36,82,18,7,0,0,0
WALACE,11,2020-2021,UDINESE,19,UDINESE,INTER,63',0,0,0,0,0,0,0,33,0,0,28,90,14,2,0,0,0
